,Plain top-3 (no overlay),Top-3 + abs-mom overlay,Top-3 + overlay + band(4),Top-2 + overlay,Top-4 + overlay,Top-3 + overlay + band(5),SPY buy & hold,Equal-weight sectors
2011-02-09,1.0370694005624677,1.0370694005624677,1.0370694005624677,1.041293286522681,1.028428522034314,1.0370694005624677,1.0518495113200896,1.0446112736080848
2011-02-10,1.0399629764239449,1.0399629764239449,1.0399629764239449,1.0447233612311522,1.0331606458315095,1.0399629764239449,1.0522469676315882,1.0460510898240005
2011-02-11,1.048028122361987,1.048028122361987,1.048028122361987,1.0539608764333592,1.0391753844355789,1.048028122361987,1.058528850345061,1.0516361931280034
2011-02-14,1.04995348444908,1.04995348444908,1.04995348444908,1.0512587673356775,1.0461873002646205,1.04995348444908,1.061073926156364,1.05411860635002
2011-02-15,1.0451276072215265,1.0451276072215265,1.0451276072215265,1.0500004269164347,1.0398693571903843,1.0451276072215265,1.0577337782611564,1.0507505443158274
2011-02-16,1.0541568983443763,1.0541568983443763,1.0541568983443763,1.0567837862223597,1.0500571894781667,1.0541568983443763,1.064413834860211,1.0573112699175098
2011-02-17,1.0581938524953152,1.0581938524953152,1.0581938524953152,1.058159014034647,1.0556468469924585,1.0581938524953152,1.0675946813090045,1.061421331956072
2011-02-18,1.0570948747539253,1.0570948747539253,1.0570948747539253,1.0623608697441216,1.0559157991248198,1.0570948747539253,1.0698212339579334,1.0624230242869832
2011-02-22,1.0271990349287898,1.0271990349287898,1.0271990349287898,1.0342882132035156,1.0309319114420998,1.0271990349287898,1.0483501417089214,1.0414631802968153
2011-02-23,1.013602154729594,1.013602154729594,1.013602154729594,1.0176632495855051,1.0260290469351658,1.013602154729594,1.0419086386272198,1.0357769839826398
2011-02-24,1.0158606957192045,1.0158606957192045,1.0158606957192045,1.0236508564928581,1.023965396876715,1.0158606957192045,1.0411928983447079,1.0344524064360905
2011-02-25,1.0274190834834251,1.0274190834834251,1.0274190834834251,1.0335780139859685,1.036801545228916,1.0274190834834251,1.0523262994329807,1.04523703281757
2011-02-28,1.0350548547071832,1.0350548547071832,1.0353942250161094,1.0395660129981277,1.04482784323387,1.0353942250161094,1.0588473735074357,1.0531106864962458
2011-03-01,1.0146667530585942,1.0146667530585942,1.0129750286372392,1.0187424280282247,1.0229713476864202,1.0129750286372392,1.041192898344708,1.0355701498397032
2011-03-02,1.0195911586010866,1.0195911586010866,1.0171921724064183,1.0241825680236603,1.0276264113415012,1.0171921724064183,1.0434197699154513,1.0378912441550388
2011-03-03,1.0396777564848012,1.0396777564848012,1.0382629695723897,1.0453435000439626,1.04799668709969,1.0382629695723897,1.0613918912055635,1.0561205781600331
2011-03-04,1.0308405593107786,1.0308405593107786,1.0284713493695847,1.0358549721259163,1.0389231800782655,1.0284713493695847,1.0534397352183527,1.0482892725128867
2011-03-07,1.0218408210473064,1.0218408210473064,1.0160254735171328,1.027440152977929,1.02767457060131,1.0160254735171328,1.0451690560687672,1.0402153004371024
2011-03-08,1.027056722857384,1.027056722857384,1.0279040376546733,1.031209407362979,1.0345360969409867,1.0279040376546733,1.0543144580254642,1.0497384179599825
2011-03-09,1.0247707504406043,1.0247707504406043,1.0224358795463546,1.0265786581847138,1.0286350689557722,1.0224358795463546,1.052803565928594,1.048582568386759
2011-03-10,1.0015832967703024,1.0015832967703024,1.0042416156476313,0.9975809049193545,1.0055861057724442,1.0042416156476313,1.0333203133502507,1.029739408567048
2011-03-11,1.0133158669847502,1.0133158669847502,1.0151637673493688,1.0120910760111979,1.0181093604716878,1.0151637673493688,1.0404773972535573,1.037281625158842
2011-03-14,1.0080247624160001,1.0080247624160001,1.006844770645492,1.0104507226793356,1.0131767797195255,1.006844770645492,1.0341948766964548,1.0305349043391643
2011-03-15,0.9995496465208176,0.9995496465208176,1.0008716589867754,1.0019032284328118,1.0067604262613126,1.0008716589867754,1.022346133977938,1.020059386034696
