,SPY
1993-01-29,24.113252639770508
1993-02-01,24.284765243530273
1993-02-02,24.336223602294922
1993-02-03,24.593473434448242
1993-02-04,24.696372985839844
1993-02-05,24.67922592163086
1993-02-08,24.67922592163086
1993-02-09,24.50771141052246
1993-02-10,24.542007446289062
1993-02-11,24.662063598632812
1993-02-12,24.47341537475586
1993-02-16,23.856006622314453
1993-02-17,23.838869094848633
1993-02-18,23.821714401245117
1993-02-19,23.907459259033203
1993-02-22,23.99321174621582
1993-02-23,23.976062774658203
1993-02-24,24.284765243530273
1993-02-25,24.336223602294922
1993-02-26,24.370506286621094
1993-03-01,24.30191421508789
1993-03-02,24.662063598632812
1993-03-03,24.764968872070312
1993-03-04,24.627777099609375
1993-03-05,24.55916976928711
1993-03-08,25.107969284057617
1993-03-09,25.02223777770996
1993-03-10,25.073680877685547
1993-03-11,25.00507354736328
1993-03-12,24.747835159301758
1993-03-15,24.86787223815918
1993-03-16,24.86787223815918
1993-03-17,24.713518142700195
1993-03-18,24.86787223815918
1993-03-19,24.830232620239258
1993-03-22,24.692392349243164
1993-03-23,24.74407386779785
1993-03-24,24.74407386779785
1993-03-25,24.899154663085938
1993-03-26,24.761316299438477
1993-03-29,24.864696502685547
1993-03-30,24.933629989624023
1993-03-31,24.916406631469727
1993-04-01,24.830232620239258
1993-04-02,24.313302993774414
1993-04-05,24.433914184570312
1993-04-06,24.364994049072266
1993-04-07,24.451147079467773
1993-04-08,24.416696548461914
1993-04-12,24.761316299438477
1993-04-13,24.812992095947266
1993-04-14,24.77854347229004
1993-04-15,24.77854347229004
1993-04-16,24.77854347229004
1993-04-19,24.675151824951172
1993-04-20,24.554527282714844
1993-04-21,24.537296295166016
1993-04-22,24.22713851928711
1993-04-23,24.123767852783203
1993-04-26,23.934226989746094
1993-04-27,24.192686080932617
1993-04-28,24.14098358154297
1993-04-29,24.244373321533203
1993-04-30,24.27883529663086
1993-05-03,24.433914184570312
1993-05-04,24.520078659057617
1993-05-05,24.588993072509766
1993-05-06,24.50284194946289
1993-05-07,24.451147079467773
1993-05-10,24.50284194946289
1993-05-11,24.606239318847656
1993-05-12,24.571767807006836
1993-05-13,24.27883529663086
1993-05-14,24.26160430908203
1993-05-17,24.347761154174805
1993-05-18,24.330537796020508
1993-05-19,24.830232620239258
1993-05-20,24.899154663085938
1993-05-21,24.675151824951172
1993-05-24,24.77854347229004
1993-05-25,24.830232620239258
1993-05-26,25.140411376953125
1993-05-27,25.054235458374023
1993-05-28,24.933629989624023
1993-06-01,25.174877166748047
1993-06-02,25.140411376953125
1993-06-03,25.054235458374023
1993-06-04,24.96808433532715
1993-06-07,24.881916046142578
1993-06-08,24.657934188842773
1993-06-09,24.74407386779785
1993-06-10,24.761316299438477
1993-06-11,24.864696502685547
1993-06-14,24.830232620239258
1993-06-15,24.77854347229004
1993-06-16,24.830232620239258
1993-06-17,24.916406631469727
1993-06-18,24.711200714111328
1993-06-21,24.763259887695312
1993-06-22,24.780622482299805
1993-06-23,24.555025100708008
1993-06-24,24.884750366210938
1993-06-25,24.867389678955078
1993-06-28,25.14504051208496
1993-06-29,25.023563385009766
1993-06-30,25.023563385009766
1993-07-01,24.95415496826172
1993-07-02,24.815330505371094
1993-07-06,24.555025100708008
1993-07-07,24.624427795410156
1993-07-08,24.902095794677734
1993-07-09,24.971506118774414
1993-07-12,24.95415496826172
1993-07-13,24.936800003051758
1993-07-14,25.023563385009766
1993-07-15,24.91944694519043
1993-07-16,24.85003662109375
1993-07-19,24.832679748535156
1993-07-20,24.902095794677734
1993-07-21,24.884750366210938
1993-07-22,24.711200714111328
1993-07-23,24.832679748535156
1993-07-26,24.971506118774414
1993-07-27,24.95415496826172
1993-07-28,24.902095794677734
1993-07-29,25.040922164916992
1993-07-30,24.902095794677734
1993-08-02,24.971506118774414
1993-08-03,24.988874435424805
1993-08-04,24.988874435424805
1993-08-05,24.936800003051758
1993-08-06,24.971506118774414
1993-08-09,25.11034393310547
1993-08-10,25.092979431152344
1993-08-11,25.092979431152344
1993-08-12,25.023563385009766
1993-08-13,25.05827522277832
1993-08-16,25.197099685668945
1993-08-17,25.283864974975586
1993-08-18,25.42270278930664
1993-08-19,25.42270278930664
1993-08-20,25.440067291259766
1993-08-23,25.387971878051758
1993-08-24,25.665639877319336
1993-08-25,25.682987213134766
1993-08-26,25.700359344482422
1993-08-27,25.682987213134766
1993-08-30,25.7871150970459
1993-08-31,25.856538772583008
1993-09-01,25.821828842163086
1993-09-02,25.73505210876465
1993-09-03,25.752403259277344
1993-09-07,25.578882217407227
1993-09-08,25.492111206054688
1993-09-09,25.544170379638672
1993-09-10,25.76976203918457
1993-09-13,25.7871150970459
1993-09-14,25.682987213134766
1993-09-15,25.752403259277344
1993-09-16,25.648279190063477
1993-09-17,25.598569869995117
1993-09-20,25.389019012451172
1993-09-21,25.301706314086914
1993-09-22,25.511259078979492
1993-09-23,25.650938034057617
1993-09-24,25.58111000061035
1993-09-27,25.860496520996094
1993-09-28,25.80808448791504
1993-09-29,25.720783233642578
1993-09-30,25.668407440185547
1993-10-01,25.79064178466797
1993-10-04,25.825557708740234
1993-10-05,25.79064178466797
1993-10-06,25.773170471191406
1993-10-07,25.703330993652344
1993-10-08,25.738256454467773
1993-10-11,25.79064178466797
1993-10-12,25.825557708740234
1993-10-13,25.825557708740234
1993-10-14,26.15732192993164
1993-10-15,26.29702377319336
1993-10-18,26.227176666259766
1993-10-19,26.035085678100586
1993-10-20,26.07001304626465
1993-10-21,26.035085678100586
1993-10-22,25.912864685058594
1993-10-25,25.982715606689453
1993-10-26,25.96525764465332
1993-10-27,25.982715606689453
1993-10-28,26.17479133605957
1993-10-29,26.17479133605957
1993-11-01,26.244626998901367
1993-11-02,26.227176666259766
1993-11-03,25.89540672302246
1993-11-04,25.61602020263672
1993-11-05,25.738256454467773
1993-11-08,25.773170471191406
1993-11-09,25.79064178466797
1993-11-10,25.982715606689453
1993-11-11,25.912864685058594
1993-11-12,26.035085678100586
1993-11-15,26.017650604248047
1993-11-16,26.13985824584961
1993-11-17,26.00017738342285
1993-11-18,25.930330276489258
1993-11-19,25.877944946289062
1993-11-22,25.720783233642578
1993-11-23,25.860496520996094
1993-11-24,25.96525764465332
1993-11-26,25.982715606689453
1993-11-29,25.877944946289062
1993-11-30,25.89540672302246
1993-12-01,25.930330276489258
1993-12-02,26.00017738342285
1993-12-03,26.104938507080078
1993-12-06,26.192249298095703
1993-12-07,26.17479133605957
1993-12-08,26.17479133605957
1993-12-09,26.087480545043945
1993-12-10,26.035085678100586
1993-12-13,26.192249298095703
1993-12-14,26.00017738342285
1993-12-15,25.96525764465332
1993-12-16,26.052555084228516
1993-12-17,26.19574737548828
1993-12-20,26.230911254882812
1993-12-21,26.142988204956055
1993-12-22,26.318796157836914
1993-12-23,26.301237106323242
1993-12-27,26.441864013671875
1993-12-28,26.49462890625
1993-12-29,26.459442138671875
1993-12-30,26.353979110717773
1993-12-31,26.21331024169922
1994-01-03,26.142988204956055
1994-01-04,26.24847984313965
1994-01-05,26.301237106323242
1994-01-06,26.301237106323242
1994-01-07,26.459442138671875
1994-01-10,26.775903701782227
1994-01-11,26.723167419433594
1994-01-12,26.63525390625
1994-01-13,26.56494140625
1994-01-14,26.67042350769043
1994-01-17,26.67042350769043
1994-01-18,26.70557975769043
1994-01-19,26.63525390625
1994-01-20,26.70557975769043
1994-01-21,26.6528377532959
1994-01-24,26.54734992980957
1994-01-25,26.54734992980957
1994-01-26,26.617687225341797
1994-01-27,26.86382293701172
1994-01-28,26.934139251708984
1994-01-31,27.127546310424805
1994-02-01,26.986873626708984
1994-02-02,27.162696838378906
1994-02-03,27.039621353149414
1994-02-04,26.42428207397461
1994-02-07,26.54734992980957
1994-02-08,26.56494140625
1994-02-09,26.67042350769043
1994-02-10,26.441864013671875
1994-02-11,26.529767990112305
1994-02-14,26.56494140625
1994-02-15,26.70557975769043
1994-02-16,26.68800926208496
1994-02-17,26.529767990112305
1994-02-18,26.37154197692871
1994-02-22,26.63525390625
1994-02-23,26.56494140625
1994-02-24,26.21331024169922
1994-02-25,26.336374282836914
1994-02-28,26.336374282836914
1994-03-01,26.230911254882812
1994-03-02,26.266054153442383
1994-03-03,26.19574737548828
1994-03-04,26.266054153442383
1994-03-07,26.406721115112305
1994-03-08,26.301237106323242
1994-03-09,26.42428207397461
1994-03-10,26.21331024169922
1994-03-11,26.353979110717773
1994-03-14,26.389135360717773
1994-03-15,26.37154197692871
1994-03-16,26.58252716064453
1994-03-17,26.58252716064453
1994-03-18,26.57672119140625
1994-03-21,26.506006240844727
1994-03-22,26.57672119140625
1994-03-23,26.559022903442383
1994-03-24,26.24074935913086
1994-03-25,25.99319839477539
1994-03-28,26.028562545776367
1994-03-29,25.51576805114746
1994-03-30,25.162111282348633
1994-03-31,25.232847213745117
1994-04-04,24.843843460083008
1994-04-05,25.35662078857422
1994-04-06,25.35662078857422
1994-04-07,25.480409622192383
1994-04-08,25.285892486572266
1994-04-11,25.392000198364258
1994-04-12,25.35662078857422
1994-04-13,25.224016189575195
1994-04-14,25.232847213745117
1994-04-15,25.232847213745117
1994-04-18,25.064884185791016
1994-04-19,25.10024070739746
1994-04-20,25.07370948791504
1994-04-21,25.40966796875
1994-04-22,25.383142471313477
1994-04-25,25.648395538330078
1994-04-26,25.62186622619629
1994-04-28,25.436203002929688
1994-04-29,25.51576805114746
1994-05-02,25.674907684326172
1994-05-03,25.648395538330078
1994-05-04,25.60417938232422
1994-05-05,25.568811416625977
1994-05-06,25.321264266967773
1994-05-09,25.10024070739746
1994-05-10,25.294748306274414
1994-05-11,25.064884185791016
1994-05-12,25.188650131225586
1994-05-13,25.188650131225586
1994-05-16,25.197473526000977
1994-05-17,25.568811416625977
1994-05-18,25.754486083984375
1994-05-19,25.878259658813477
1994-05-20,25.78099822998047
1994-05-23,25.736806869506836
1994-05-24,25.842906951904297
1994-05-25,25.91364097595215
1994-05-26,25.93130874633789
1994-05-27,25.957839965820312
1994-05-31,25.922462463378906
1994-06-01,26.037412643432617
1994-06-02,26.010887145996094
1994-06-03,26.161205291748047
1994-06-06,26.15233612060547
1994-06-07,26.116971969604492
1994-06-08,25.904796600341797
1994-06-09,26.046247482299805
1994-06-10,26.09044075012207
1994-06-13,26.12582015991211
1994-06-14,26.329172134399414
1994-06-15,26.22307014465332
1994-06-16,26.276123046875
1994-06-17,26.129451751708984
1994-06-20,25.906959533691406
1994-06-21,25.68446159362793
1994-06-22,25.782363891601562
1994-06-23,25.63106918334961
1994-06-24,25.09708595275879
1994-06-27,25.533174514770508
1994-06-28,25.408578872680664
1994-06-29,25.48867416381836
1994-06-30,25.328481674194336
1994-07-01,25.381885528564453
1994-07-05,25.5153865814209
1994-07-06,25.479782104492188
1994-07-07,25.586585998535156
1994-07-08,25.577665328979492
1994-07-11,25.48867416381836
1994-07-12,25.524267196655273
1994-07-13,25.56876564025879
1994-07-14,25.84465789794922
1994-07-15,25.853557586669922
1994-07-18,25.898061752319336
1994-07-19,25.84465789794922
1994-07-20,25.72895622253418
1994-07-21,25.782363891601562
1994-07-22,25.82686996459961
1994-07-25,25.862442016601562
1994-07-26,25.835771560668945
1994-07-27,25.835771560668945
1994-07-28,25.889163970947266
1994-07-29,26.147245407104492
1994-08-01,26.27185821533203
1994-08-02,26.30743980407715
1994-08-03,26.316335678100586
1994-08-04,26.165050506591797
1994-08-05,26.076066970825195
1994-08-08,26.138349533081055
1994-08-09,26.18285369873047
1994-08-10,26.280752182006836
1994-08-11,26.18285369873047
1994-08-12,26.387548446655273
1994-08-15,26.378644943237305
1994-08-16,26.565526962280273
1994-08-17,26.54774284362793
1994-08-18,26.458759307861328
1994-08-19,26.440935134887695
1994-08-22,26.414249420166016
1994-08-23,26.565526962280273
1994-08-24,26.850322723388672
1994-08-25,26.779138565063477
1994-08-26,27.161813735961914
1994-08-29,27.144018173217773
1994-08-30,27.2152156829834
1994-08-31,27.144018173217773
1994-09-01,27.05501937866211
1994-09-02,26.9393310546875
1994-09-06,26.948211669921875
1994-09-07,26.92152976989746
1994-09-08,27.05501937866211
1994-09-09,26.770225524902344
1994-09-12,26.69014549255371
1994-09-13,26.770225524902344
1994-09-14,26.796937942504883
1994-09-15,27.135107040405273
1994-09-16,26.942007064819336
1994-09-19,26.9688720703125
1994-09-20,26.458486557006836
1994-09-21,26.458486557006836
1994-09-22,26.395824432373047
1994-09-23,26.3062744140625
1994-09-26,26.44059181213379
1994-09-27,26.422685623168945
1994-09-28,26.628623962402344
1994-09-29,26.494319915771484
1994-09-30,26.458486557006836
1994-10-03,26.395824432373047
1994-10-04,26.00185203552246
1994-10-05,26.01080322265625
1994-10-06,25.93021583557129
1994-10-07,26.046621322631836
