,XLU
1998-12-22,5.795299530029297
1998-12-23,5.7710137367248535
1998-12-24,5.877264499664307
1998-12-28,5.846904754638672
1998-12-29,5.944052696228027
1998-12-30,5.895478248596191
1998-12-31,5.874228000640869
1999-01-04,5.780118942260742
1999-01-05,5.8499436378479
1999-01-06,5.9106597900390625
1999-01-07,5.889406204223633
1999-01-08,5.9227986335754395
1999-01-11,5.7649407386779785
1999-01-12,5.767978668212891
1999-01-13,5.807439804077148
1999-01-14,5.710297107696533
1999-01-15,5.737618446350098
1999-01-19,5.931909084320068
1999-01-20,5.907622814178467
1999-01-21,5.8863725662231445
1999-01-22,5.925837993621826
1999-01-25,5.704226970672607
1999-01-26,5.8165483474731445
1999-01-27,5.728511810302734
1999-01-28,5.737618446350098
1999-01-29,5.728511810302734
1999-02-01,5.716368675231934
1999-02-02,5.640473365783691
1999-02-03,5.670829772949219
1999-02-04,5.585830211639404
1999-02-05,5.5888671875
1999-02-08,5.5888671875
1999-02-09,5.6131510734558105
1999-02-10,5.573684215545654
1999-02-11,5.5979743003845215
1999-02-12,5.506899833679199
1999-02-16,5.607081890106201
1999-02-17,5.56761360168457
1999-02-18,5.6677937507629395
1999-02-19,5.607081890106201
1999-02-22,5.789226055145264
1999-02-23,5.607081890106201
1999-02-24,5.658690452575684
1999-02-25,5.537254810333252
1999-02-26,5.57064962387085
1999-03-01,5.488685607910156
1999-03-02,5.406720161437988
1999-03-03,5.409756660461426
1999-03-04,5.494754314422607
1999-03-05,5.5888671875
1999-03-08,5.525112628936768
1999-03-09,5.50993537902832
1999-03-10,5.491722106933594
1999-03-11,5.53422212600708
1999-03-12,5.594938278198242
1999-03-15,5.6101155281066895
1999-03-16,5.5888671875
1999-03-17,5.537254810333252
1999-03-18,5.619223117828369
1999-03-19,5.515621185302734
1999-03-22,5.533956050872803
1999-03-23,5.359779357910156
1999-03-24,5.4331159591674805
1999-03-25,5.414780139923096
1999-03-26,5.344500541687012
1999-03-29,5.31699800491333
1999-03-30,5.231433868408203
1999-03-31,5.219211578369141
1999-04-01,5.329222202301025
1999-04-05,5.372002601623535
1999-04-06,5.344500541687012
1999-04-07,5.414780139923096
1999-04-08,5.5584025382995605
1999-04-09,5.518676280975342
1999-04-12,5.598125457763672
1999-04-13,5.50645637512207
1999-04-14,5.427003383636475
1999-04-15,5.482008934020996
1999-04-16,5.5431227684021
1999-04-19,5.598125457763672
1999-04-20,5.659241676330566
1999-04-21,5.760082244873047
1999-04-22,5.741745948791504
1999-04-23,5.738691329956055
1999-04-26,5.708130359649658
1999-04-27,5.741745948791504
1999-04-28,5.717303276062012
1999-04-29,5.799805164337158
1999-04-30,5.723413467407227
1999-05-03,5.808973789215088
1999-05-04,5.760082244873047
1999-05-05,5.805919170379639
1999-05-06,5.683687686920166
1999-05-07,5.753968715667725
1999-05-10,5.738691329956055
1999-05-11,5.760082244873047
1999-05-12,5.775358200073242
1999-05-13,5.8517537117004395
1999-05-14,5.741745948791504
1999-05-17,5.860919952392578
1999-05-18,5.732580661773682
1999-05-19,5.8517537117004395
1999-05-20,5.839531421661377
1999-05-21,5.784526824951172
1999-05-24,5.842583656311035
1999-05-25,5.848694801330566
1999-05-26,5.879255294799805
1999-05-27,5.778415203094482
1999-05-28,5.790637969970703
1999-06-01,5.787581443786621
1999-06-02,5.787581443786621
1999-06-03,5.732580661773682
1999-06-04,5.818142414093018
1999-06-07,5.867033004760742
1999-06-08,5.867033004760742
1999-06-09,5.912867069244385
1999-06-10,5.863976955413818
1999-06-11,5.824253082275391
1999-06-14,5.986207962036133
1999-06-15,5.992318630218506
1999-06-16,6.050374984741211
1999-06-17,5.998431205749512
1999-06-18,6.019852638244629
1999-06-21,5.9737372398376465
1999-06-22,5.952212333679199
1999-06-23,5.933767318725586
1999-06-24,5.869198322296143
1999-06-25,5.838456153869629
1999-06-28,5.899948596954346
1999-06-29,5.903021335601807
1999-06-30,6.029076099395752
1999-07-01,6.0075554847717285
1999-07-02,6.010631084442139
1999-07-06,5.992178916931152
1999-07-07,6.047523021697998
1999-07-08,5.998330593109131
1999-07-09,5.998330593109131
1999-07-12,5.9737372398376465
1999-07-13,5.946064472198486
1999-07-14,5.982960224151611
1999-07-15,6.075193405151367
1999-07-16,6.1459059715271
1999-07-19,6.087491035461426
1999-07-20,6.115163326263428
1999-07-21,6.152055740356445
1999-07-22,6.142832279205322
1999-07-23,6.102863788604736
1999-07-26,6.112088680267334
1999-07-27,6.148981094360352
1999-07-28,6.136682033538818
1999-07-29,6.0352253913879395
1999-07-30,6.047523021697998
1999-08-02,6.139758586883545
1999-08-03,6.099788188934326
1999-08-04,6.0075554847717285
1999-08-05,6.062896251678467
1999-08-06,6.038295745849609
1999-08-09,6.062896251678467
1999-08-10,5.952212333679199
1999-08-11,5.921466827392578
1999-08-12,5.890722751617432
1999-08-13,5.967584133148193
1999-08-16,5.921466827392578
1999-08-17,5.9860358238220215
1999-08-18,5.949138164520264
1999-08-19,5.881501197814941
1999-08-20,5.86612606048584
