,XLY
1998-12-22,9.3607816696167
1998-12-23,9.400985717773438
1998-12-24,9.57326889038086
1998-12-28,9.487127304077148
1998-12-29,9.693866729736328
1998-12-30,9.613468170166016
1998-12-31,9.601977348327637
1999-01-04,9.544554710388184
1999-01-05,9.705353736877441
1999-01-06,9.981006622314453
1999-01-07,9.969520568847656
1999-01-08,9.981006622314453
1999-01-11,9.929322242736816
1999-01-12,9.670896530151367
1999-01-13,9.716835975646973
1999-01-14,9.498608589172363
1999-01-15,9.619214057922363
1999-01-19,9.613468170166016
1999-01-20,9.774261474609375
1999-01-21,9.682378768920898
1999-01-22,9.728323936462402
1999-01-25,9.705353736877441
1999-01-26,9.935065269470215
1999-01-27,9.92358112335205
1999-01-28,10.026952743530273
1999-01-29,10.095865249633789
1999-02-01,10.118839263916016
1999-02-02,9.992493629455566
1999-02-03,10.153289794921875
1999-02-04,10.095865249633789
1999-02-05,9.843179702758789
1999-02-08,10.003976821899414
1999-02-09,9.693866729736328
1999-02-10,9.693866729736328
1999-02-11,10.009725570678711
1999-02-12,9.831692695617676
1999-02-16,9.958038330078125
1999-02-17,9.92358112335205
1999-02-18,9.935065269470215
1999-02-19,9.98675537109375
1999-02-22,10.239439964294434
1999-02-23,10.187750816345215
1999-02-24,10.061406135559082
1999-02-25,9.946553230285645
1999-02-26,10.032692909240723
1999-03-01,10.038437843322754
1999-03-02,10.061406135559082
1999-03-03,10.009725570678711
1999-03-04,10.222206115722656
1999-03-05,10.532316207885742
1999-03-08,10.578258514404297
1999-03-09,10.606973648071289
1999-03-10,10.578258514404297
1999-03-11,10.693117141723633
1999-03-12,10.73906135559082
1999-03-15,10.76203441619873
1999-03-16,10.70460033416748
1999-03-17,10.658656120300293
1999-03-18,10.842432975769043
1999-03-19,10.693227767944336
1999-03-22,10.578248977661133
1999-03-23,10.256301879882812
1999-03-24,10.175821304321289
1999-03-25,10.4862642288208
1999-03-26,10.417280197143555
1999-03-29,10.6702299118042
1999-03-30,10.681734085083008
1999-03-31,10.520755767822266
1999-04-01,10.509260177612305
1999-04-05,10.647238731384277
1999-04-06,10.704727172851562
1999-04-07,10.796710014343262
1999-04-08,11.038174629211426
1999-04-09,11.141657829284668
1999-04-12,11.23363971710205
1999-04-13,11.176149368286133
1999-04-14,10.923194885253906
1999-04-15,10.900196075439453
1999-04-16,10.93468952178955
1999-04-19,10.693227767944336
1999-04-20,10.831206321716309
1999-04-21,11.015176773071289
1999-04-22,11.043924331665039
1999-04-23,11.164653778076172
1999-04-26,11.095664024353027
1999-04-27,11.124409675598145
1999-04-28,11.0841646194458
1999-04-29,10.831206321716309
1999-04-30,10.796710014343262
1999-05-03,11.061166763305664
1999-05-04,10.93468952178955
1999-05-05,10.842705726623535
1999-05-06,10.60124397277832
1999-05-07,10.842705726623535
1999-05-10,10.831206321716309
1999-05-11,11.049673080444336
1999-05-12,11.118659019470215
1999-05-13,11.061166763305664
1999-05-14,10.842705726623535
1999-05-17,10.624242782592773
1999-05-18,10.693227767944336
1999-05-19,10.566752433776855
1999-05-20,10.658735275268555
1999-05-21,10.589744567871094
