,XLE
1998-12-22,5.695553779602051
1998-12-23,5.814132213592529
1998-12-24,5.783529281616211
1998-12-28,5.752932071685791
1998-12-29,5.810306072235107
1998-12-30,5.7223310470581055
1998-12-31,5.714680194854736
1999-01-04,5.710854530334473
1999-01-05,5.680253982543945
1999-01-06,5.867681503295898
1999-01-07,5.8409104347229
1999-01-08,5.867681503295898
1999-01-11,5.75675630569458
1999-01-12,5.6687798500061035
1999-01-13,5.5846266746521
1999-01-14,5.4775238037109375
1999-01-15,5.561675071716309
1999-01-19,5.561675071716309
1999-01-20,5.515778064727783
1999-01-21,5.561675071716309
1999-01-22,5.531076908111572
1999-01-25,5.523427486419678
1999-01-26,5.469874382019043
1999-01-27,5.370421409606934
1999-01-28,5.339820384979248
1999-01-29,5.339820384979248
1999-02-01,5.286270618438721
1999-02-02,5.29392147064209
1999-02-03,5.416323184967041
1999-02-04,5.446924686431885
1999-02-05,5.599929332733154
1999-02-08,5.676425933837891
1999-02-09,5.569324970245361
1999-02-10,5.5846266746521
1999-02-11,5.538727760314941
1999-02-12,5.423971176147461
1999-02-16,5.385719299316406
1999-02-17,5.332170486450195
1999-02-18,5.34747314453125
1999-02-19,5.316870212554932
1999-02-22,5.370421409606934
1999-02-23,5.324522495269775
1999-02-24,5.301571369171143
1999-02-25,5.32834529876709
1999-02-26,5.29392147064209
1999-03-01,5.240366458892822
1999-03-02,5.186814308166504
1999-03-03,5.301571369171143
1999-03-04,5.492824077606201
1999-03-05,5.596102714538574
1999-03-08,5.676425933837891
1999-03-09,5.615227222442627
1999-03-10,5.9365339279174805
1999-03-11,6.020689487457275
1999-03-12,5.997735023498535
1999-03-15,5.951830863952637
1999-03-16,5.921236515045166
1999-03-17,6.0742363929748535
1999-03-18,6.150740623474121
1999-03-19,6.0883965492248535
1999-03-22,6.126784324645996
1999-03-23,6.0192975997924805
1999-03-24,5.988586902618408
1999-03-25,6.003942966461182
1999-03-26,6.080718994140625
1999-03-29,6.24962854385376
1999-03-30,6.134459972381592
1999-03-31,6.042329788208008
1999-04-01,6.034650802612305
1999-04-05,6.180530071258545
1999-04-06,6.119107723236084
1999-04-07,6.057684898376465
