,XLB
1998-12-22,5.696740627288818
1998-12-23,5.756574630737305
1998-12-24,5.889054298400879
1998-12-28,5.837773323059082
1998-12-29,5.944612979888916
1998-12-30,5.927519798278809
1998-12-31,5.995895862579346
1999-01-04,5.923244953155518
1999-01-05,6.068547248840332
1999-01-06,6.175388813018799
1999-01-07,6.128381252288818
1999-01-08,6.337780952453613
1999-01-11,6.350605487823486
1999-01-12,6.188209533691406
1999-01-13,6.051453113555908
1999-01-14,5.948884010314941
1999-01-15,6.038630962371826
1999-01-19,5.927519798278809
1999-01-20,5.9061479568481445
1999-01-21,5.88050651550293
1999-01-22,5.7651214599609375
1999-01-25,5.88050651550293
1999-01-26,5.863412857055664
1999-01-27,5.816403388977051
1999-01-28,5.743751049041748
1999-01-29,5.773666858673096
1999-02-01,5.820676803588867
1999-02-02,5.824951171875
1999-02-03,5.829225063323975
1999-02-04,6.000168800354004
1999-02-05,6.081369400024414
1999-02-08,6.051453113555908
1999-02-09,5.936064720153809
1999-02-10,5.948884010314941
1999-02-11,5.889054298400879
1999-02-12,5.859138488769531
1999-02-16,5.803580284118652
1999-02-17,5.743751049041748
1999-02-18,5.7864885330200195
1999-02-19,5.833497047424316
1999-02-22,5.931788921356201
1999-02-23,5.88050651550293
1999-02-24,5.863412857055664
1999-02-25,5.863412857055664
1999-02-26,5.863412857055664
1999-03-01,5.795035362243652
1999-03-02,5.743751049041748
1999-03-03,5.705289840698242
1999-03-04,5.722385406494141
1999-03-05,5.914697170257568
1999-03-08,5.95316219329834
1999-03-09,5.901877403259277
1999-03-10,5.983077049255371
1999-03-11,6.047180652618408
1999-03-12,6.021539211273193
1999-03-15,6.034357070922852
1999-03-16,6.0087127685546875
1999-03-17,5.991619110107422
1999-03-18,6.119833469390869
1999-03-19,6.127545356750488
1999-03-22,6.14470100402832
1999-03-23,5.990333080291748
1999-03-24,5.9946184158325195
1999-03-25,6.016061305999756
1999-03-26,5.968891620635986
1999-03-29,6.06751823425293
1999-03-30,6.054652690887451
1999-03-31,5.968891620635986
1999-04-01,6.037502765655518
1999-04-05,6.110398292541504
1999-04-06,6.003198146820068
1999-04-07,6.06751823425293
1999-04-08,6.153278350830078
1999-04-09,6.123264312744141
1999-04-12,6.303356170654297
1999-04-13,6.380545139312744
1999-04-14,6.689273357391357
1999-04-15,6.9465532302856445
1999-04-16,7.023738384246826
