,XLRE
2015-10-08,20.861316680908203
2015-10-09,20.82678985595703
2015-10-12,20.95800018310547
2015-10-13,20.82678985595703
2015-10-14,20.82678985595703
2015-10-15,20.764644622802734
2015-10-16,21.159631729125977
2015-10-19,21.406848907470703
2015-10-20,21.427566528320312
2015-10-21,21.44483184814453
2015-10-22,21.716215133666992
2015-10-23,21.455188751220703
2015-10-26,21.482810974121094
2015-10-27,21.488332748413086
2015-10-28,21.410303115844727
2015-10-29,21.507667541503906
2015-10-30,21.37232208251953
2015-11-02,21.37232208251953
2015-11-03,21.648544311523438
2015-11-04,21.55876922607422
2015-11-05,21.475906372070312
2015-11-06,20.68178367614746
2015-11-09,20.51604652404785
2015-11-10,20.737028121948242
2015-11-11,20.8088436126709
2015-11-12,20.68178367614746
2015-11-13,20.4124698638916
2015-11-16,20.391752243041992
2015-11-17,20.70939826965332
2015-11-18,20.954544067382812
2015-11-19,21.06848907470703
2015-11-20,21.241119384765625
2015-11-23,21.351604461669922
2015-11-24,21.02705192565918
2015-11-25,21.02705192565918
2015-11-27,21.185880661010742
2015-11-30,21.234207153320312
2015-12-01,21.585697174072266
2015-12-02,21.144445419311523
2015-12-03,20.72321128845215
2015-12-04,21.144445419311523
2015-12-07,21.144445419311523
2015-12-08,21.213502883911133
2015-12-09,21.09610366821289
2015-12-10,20.923465728759766
2015-12-11,20.81160545349121
2015-12-14,20.87582778930664
2015-12-15,21.116825103759766
2015-12-16,21.496623992919922
2015-12-17,21.469003677368164
2015-12-18,21.189729690551758
2015-12-21,21.224639892578125
2015-12-22,21.420129776000977
2015-12-23,21.629579544067383
2015-12-24,21.65052604675293
2015-12-28,21.59257698059082
2015-12-29,21.95074462890625
2015-12-30,21.95074462890625
2015-12-31,21.772008895874023
2016-01-04,21.266523361206055
2016-01-05,21.910947799682617
2016-01-06,21.69940185546875
2016-01-07,21.30144500732422
2016-01-08,21.02216339111328
2016-01-11,21.147838592529297
2016-01-12,20.917442321777344
2016-01-13,20.70100212097168
2016-01-14,20.770814895629883
2016-01-15,20.421733856201172
2016-01-19,20.561370849609375
2016-01-20,20.009803771972656
2016-01-21,20.163402557373047
2016-01-22,20.58230972290039
2016-01-25,20.58230972290039
2016-01-26,20.76523780822754
2016-01-27,20.58230972290039
2016-01-28,20.358896255493164
2016-01-29,20.37984275817871
2016-02-01,20.812713623046875
2016-02-02,20.54740333557129
2016-02-03,20.56835174560547
2016-02-04,20.691926956176758
2016-02-05,20.315603256225586
2016-02-08,19.239017486572266
2016-02-09,19.088211059570312
2016-02-10,19.493154525756836
2016-02-11,19.004432678222656
2016-02-12,19.192934036254883
2016-02-16,19.192934036254883
2016-02-17,19.793376922607422
2016-02-18,20.03773307800293
2016-02-19,20.009803771972656
2016-02-22,20.317007064819336
2016-02-23,20.212278366088867
2016-02-24,20.22903823852539
2016-02-25,20.358896255493164
2016-02-26,20.505512237548828
2016-02-29,20.477584838867188
2016-03-01,20.9663143157959
2016-03-02,21.19671058654785
2016-03-03,21.22603416442871
2016-03-04,21.287471771240234
2016-03-07,21.27351188659668
2016-03-08,21.241392135620117
2016-03-09,21.176464080810547
2016-03-10,21.076627731323242
2016-03-11,21.566741943359375
2016-03-14,21.636568069458008
2016-03-15,21.779685974121094
2016-03-16,21.615617752075195
2016-03-17,22.338932037353516
2016-03-18,22.181745529174805
2016-03-21,22.068971633911133
2016-03-22,22.030208587646484
2016-03-23,21.94914436340332
2016-03-24,21.984392166137695
2016-03-28,22.125362396240234
2016-03-29,22.60466194152832
2016-03-30,22.55531883239746
2016-03-31,22.66809844970703
2016-04-01,22.7153263092041
2016-04-04,22.68219566345215
2016-04-05,22.479196548461914
2016-04-06,22.541229248046875
2016-04-07,22.357961654663086
2016-04-08,22.569421768188477
2016-04-11,22.55531883239746
2016-04-12,22.65399932861328
2016-04-13,22.567306518554688
2016-04-14,22.477781295776367
2016-04-15,22.632850646972656
2016-04-18,22.717439651489258
2016-04-19,22.63990020751953
2016-04-20,22.414344787597656
2016-04-21,21.89557456970215
2016-04-22,22.174697875976562
2016-04-25,22.33047103881836
2016-04-26,22.393205642700195
2016-04-27,22.308624267578125
2016-04-28,22.3311767578125
2016-04-29,22.118303298950195
2016-05-02,22.350915908813477
2016-05-03,22.46369171142578
2016-05-04,22.787921905517578
2016-05-05,22.809066772460938
2016-05-06,22.928892135620117
2016-05-09,23.16008949279785
2016-05-10,23.246084213256836
2016-05-11,22.823165893554688
2016-05-12,22.90070343017578
2016-05-13,22.570119857788086
2016-05-16,22.878141403198242
2016-05-17,22.498931884765625
2016-05-18,21.9442138671875
2016-05-19,21.89980697631836
2016-05-20,22.049238204956055
2016-05-23,22.118303298950195
2016-05-24,22.26633644104004
2016-05-25,22.41716957092285
2016-05-26,22.400253295898438
2016-05-27,22.488357543945312
2016-05-31,22.498931884765625
2016-06-01,22.414344787597656
2016-06-02,22.484834671020508
2016-06-03,22.586334228515625
2016-06-06,22.597610473632812
2016-06-07,22.615934371948242
2016-06-08,22.7244930267334
2016-06-09,22.772417068481445
2016-06-10,22.66105079650879
2016-06-13,22.65399932861328
2016-06-14,22.548267364501953
2016-06-15,22.780874252319336
2016-06-16,22.89788246154785
2016-06-17,22.862346649169922
2016-06-20,22.8836669921875
2016-06-21,23.068437576293945
2016-06-22,23.047119140625
2016-06-23,23.14661407470703
2016-06-24,22.855239868164062
2016-06-27,22.8197021484375
2016-06-28,23.23900604248047
2016-06-29,23.67962646484375
2016-06-30,23.871496200561523
2016-07-01,23.857290267944336
2016-07-05,24.031404495239258
2016-07-06,23.99942970275879
2016-07-07,23.700937271118164
2016-07-08,24.111705780029297
2016-07-11,24.297908782958984
2016-07-12,24.347646713256836
2016-07-13,24.46136474609375
2016-07-14,24.32562255859375
2016-07-15,24.29009437561035
2016-07-18,24.297908782958984
2016-07-19,24.367549896240234
2016-07-20,24.33344268798828
2016-07-21,24.404510498046875
2016-07-22,24.589282989501953
2016-07-25,24.55374526977539
2016-07-26,24.415164947509766
2016-07-27,24.233951568603516
2016-07-28,24.38318634033203
2016-07-29,24.644718170166016
2016-08-01,24.72431182861328
2016-08-02,24.347646713256836
2016-08-03,24.16287612915039
2016-08-04,24.120237350463867
2016-08-05,24.120237350463867
2016-08-08,24.11313247680664
2016-08-09,24.276588439941406
2016-08-10,24.226837158203125
2016-08-11,23.99942970275879
2016-08-12,24.077594757080078
2016-08-15,24.049179077148438
2016-08-16,23.757795333862305
2016-08-17,23.857290267944336
2016-08-18,23.807538986206055
2016-08-19,23.622760772705078
2016-08-22,23.736474990844727
2016-08-23,23.722261428833008
2016-08-24,23.658300399780273
2016-08-25,23.757795333862305
2016-08-26,23.523271560668945
2016-08-29,23.757795333862305
2016-08-30,23.686725616455078
2016-08-31,23.722261428833008
2016-09-01,23.715152740478516
2016-09-02,23.871496200561523
2016-09-06,24.07049560546875
2016-09-07,24.190515518188477
2016-09-08,23.88331413269043
2016-09-09,22.975990295410156
2016-09-12,23.068862915039062
2016-09-13,22.661640167236328
2016-09-14,22.704505920410156
2016-09-15,22.87596893310547
2016-09-16,22.79738426208496
2016-09-19,23.03314781188965
2016-09-20,22.990278244018555
2016-09-21,23.254613876342773
2016-09-22,23.711849212646484
2016-09-23,23.80472755432129
2016-09-26,23.854732513427734
2016-09-27,23.647552490234375
2016-09-28,23.81186866760254
2016-09-29,23.518949508666992
2016-09-30,23.411788940429688
2016-10-03,22.961698532104492
2016-10-04,22.611631393432617
2016-10-05,22.190122604370117
2016-10-06,22.232990264892578
2016-10-07,22.17582893371582
2016-10-10,22.261560440063477
2016-10-11,22.090097427368164
2016-10-12,22.404447555541992
2016-10-13,22.475887298583984
2016-10-14,22.44731330871582
2016-10-17,22.4687442779541
2016-10-18,22.583053588867188
2016-10-19,22.668779373168945
2016-10-20,22.590198516845703
2016-10-21,22.575904846191406
2016-10-24,22.6044864654541
2016-10-25,22.575904846191406
2016-10-26,22.282997131347656
2016-10-27,21.75431251525879
2016-10-28,21.81147575378418
2016-10-31,22.111530303955078
2016-11-01,21.67573356628418
2016-11-02,21.339946746826172
2016-11-03,21.247072219848633
2016-11-04,21.38995361328125
2016-11-07,21.78289222717285
2016-11-08,21.91863441467285
2016-11-09,21.425678253173828
2016-11-10,21.104188919067383
2016-11-11,21.1256160736084
2016-11-14,21.539989471435547
2016-11-15,21.397104263305664
2016-11-16,21.382814407348633
2016-11-17,21.18277359008789
2016-11-18,21.225637435913086
2016-11-21,21.168481826782227
2016-11-22,21.53284454345703
2016-11-23,21.382814407348633
2016-11-25,21.475685119628906
2016-11-28,21.554275512695312
2016-11-29,21.70429801940918
2016-11-30,21.439966201782227
2016-12-01,21.111330032348633
2016-12-02,21.311370849609375
2016-12-05,21.48283576965332
2016-12-06,21.575712203979492
2016-12-07,22.025798797607422
2016-12-08,22.140111923217773
2016-12-09,22.12582015991211
2016-12-12,22.35443878173828
2016-12-13,22.41159439086914
2016-12-14,22.01865577697754
2016-12-15,21.84004783630371
2016-12-16,22.14634132385254
2016-12-19,22.342775344848633
2016-12-20,22.357328414916992
2016-12-21,22.073591232299805
2016-12-22,22.04448699951172
2016-12-23,22.066312789916992
2016-12-27,22.124521255493164
2016-12-28,21.95718002319336
2016-12-29,22.160886764526367
2016-12-30,22.371877670288086
2017-01-03,22.444639205932617
2017-01-04,22.728374481201172
2017-01-05,22.84478187561035
2017-01-06,22.84478187561035
2017-01-09,22.699275970458984
2017-01-10,22.41553497314453
2017-01-11,22.291852951049805
2017-01-12,22.379152297973633
2017-01-13,22.328222274780273
2017-01-17,22.510116577148438
2017-01-18,22.56104278564453
2017-01-19,22.342775344848633
2017-01-20,22.48101043701172
2017-01-23,22.619247436523438
2017-01-24,22.626516342163086
2017-01-25,22.488285064697266
2017-01-26,22.473730087280273
2017-01-27,22.284574508666992
