,XLF
1998-12-22,11.124486923217773
1998-12-23,11.288519859313965
1998-12-24,11.363078117370605
1998-12-28,11.213960647583008
1998-12-29,11.333256721496582
1998-12-30,11.288519859313965
1998-12-31,11.184131622314453
1999-01-04,11.184131622314453
1999-01-05,11.288519859313965
1999-01-06,11.646410942077637
1999-01-07,11.825358390808105
1999-01-08,11.899924278259277
1999-01-11,11.720975875854492
1999-01-12,11.392904281616211
1999-01-13,11.243786811828613
1999-01-14,10.960455894470215
1999-01-15,11.273611068725586
1999-01-19,11.213960647583008
1999-01-20,11.29597282409668
1999-01-21,11.094659805297852
1999-01-22,11.020096778869629
1999-01-25,11.109570503234863
1999-01-26,11.11703109741211
1999-01-27,10.975364685058594
1999-01-28,11.139396667480469
1999-01-29,11.377989768981934
1999-02-01,11.184131622314453
1999-02-02,11.064835548400879
1999-02-03,11.146856307983398
1999-02-04,10.885892868041992
1999-02-05,10.796415328979492
1999-02-08,10.766592979431152
1999-02-09,10.617480278015137
1999-02-10,10.706945419311523
1999-02-11,11.139396667480469
1999-02-12,10.975364685058594
1999-02-16,11.139396667480469
1999-02-17,11.184131622314453
1999-02-18,11.29597282409668
1999-02-19,11.333256721496582
1999-02-22,11.661327362060547
1999-02-23,11.810446739196777
1999-02-24,11.422725677490234
1999-02-25,11.348162651062012
1999-02-26,11.556944847106934
1999-03-01,11.601673126220703
1999-03-02,11.63149642944336
1999-03-03,11.519659996032715
1999-03-04,11.780621528625488
1999-03-05,12.078869819641113
1999-03-08,11.99685001373291
1999-03-09,12.093779563903809
1999-03-10,12.317456245422363
1999-03-11,12.377104759216309
1999-03-12,12.399479866027832
1999-03-15,12.43675708770752
1999-03-16,12.257811546325684
1999-03-17,12.153430938720703
1999-03-18,12.43675708770752
1999-03-19,12.200643539428711
1999-03-22,12.230546951293945
1999-03-23,11.811885833740234
1999-03-24,11.781990051269531
1999-03-25,12.05112075805664
1999-03-26,11.946452140808105
1999-03-29,12.215582847595215
1999-03-30,12.073553085327148
1999-03-31,11.931506156921387
1999-04-01,11.961410522460938
1999-04-05,12.200643539428711
1999-04-06,12.110934257507324
1999-04-07,12.43986701965332
1999-04-08,12.664142608642578
1999-04-09,12.63424015045166
1999-04-12,12.858516693115234
1999-04-13,12.843563079833984
1999-04-14,12.679091453552246
1999-04-15,12.559480667114258
1999-04-16,12.49966812133789
1999-04-19,12.49966812133789
1999-04-20,12.664142608642578
1999-04-21,12.858516693115234
1999-04-22,12.993080139160156
1999-04-23,12.94823169708252
1999-04-26,12.753851890563965
1999-04-27,12.978126525878906
1999-04-28,12.903368949890137
1999-04-29,12.94823169708252
1999-04-30,12.768806457519531
1999-05-03,12.918327331542969
1999-05-04,12.514626502990723
1999-05-05,12.589380264282227
1999-05-06,12.380057334899902
1999-05-07,12.619283676147461
1999-05-10,12.574437141418457
1999-05-11,12.723947525024414
1999-05-12,12.903368949890137
1999-05-13,13.022989273071289
1999-05-14,12.619283676147461
1999-05-17,12.380057334899902
1999-05-18,12.409966468811035
1999-05-19,12.49966812133789
1999-05-20,12.33520793914795
1999-05-21,12.305304527282715
1999-05-24,12.036169052124023
1999-05-25,11.722176551818848
1999-05-26,12.103449821472168
1999-05-27,11.811885833740234
1999-05-28,11.99879264831543
1999-06-01,11.8268461227417
1999-06-02,11.752083778381348
1999-06-03,11.744611740112305
1999-06-04,11.961410522460938
1999-06-07,12.185688972473145
1999-06-08,11.96888542175293
1999-06-09,11.938983917236328
1999-06-10,11.714709281921387
1999-06-11,11.737133026123047
1999-06-14,11.677326202392578
1999-06-15,11.737133026123047
1999-06-16,12.043646812438965
1999-06-17,12.275388717651367
1999-06-18,12.294469833374023
1999-06-21,12.369439125061035
1999-06-22,12.234498977661133
1999-06-23,12.114542961120605
1999-06-24,11.919642448425293
1999-06-25,11.949626922607422
1999-06-28,12.226995468139648
1999-06-29,12.264486312866211
1999-06-30,12.519367218017578
1999-07-01,12.654302597045898
1999-07-02,12.654302597045898
1999-07-06,12.759258270263672
1999-07-07,12.714276313781738
1999-07-08,12.669300079345703
1999-07-09,12.684292793273926
1999-07-12,12.579341888427734
1999-07-13,12.444403648376465
1999-07-14,12.47439193725586
1999-07-15,12.586834907531738
1999-07-16,12.654302597045898
1999-07-19,12.564352035522461
1999-07-20,12.406920433044434
1999-07-21,12.264486312866211
1999-07-22,12.279475212097168
1999-07-23,12.144542694091797
1999-07-26,12.189516067504883
1999-07-27,12.35444450378418
1999-07-28,12.204509735107422
1999-07-29,12.024590492248535
1999-07-30,11.754705429077148
1999-08-02,11.694737434387207
1999-08-03,11.544804573059082
1999-08-04,11.39487361907959
1999-08-05,11.43985366821289
1999-08-06,11.139986991882324
1999-08-09,11.169970512390137
1999-08-10,10.975064277648926
1999-08-11,11.184965133666992
1999-08-12,11.237444877624512
1999-08-13,11.604783058166504
1999-08-16,11.559798240661621
1999-08-17,11.979605674743652
1999-08-18,11.852166175842285
