,XLC
2018-06-19,46.20410919189453
2018-06-20,46.777503967285156
2018-06-21,46.490814208984375
2018-06-22,46.69425964355469
2018-06-25,45.73245620727539
2018-06-26,45.808284759521484
2018-06-27,45.40875244140625
2018-06-28,45.86192321777344
2018-06-29,45.806427001953125
2018-07-02,46.09312438964844
2018-07-03,45.52899932861328
2018-07-05,46.22261047363281
2018-07-06,46.953216552734375
2018-07-09,47.221412658691406
2018-07-10,47.20199966430664
2018-07-11,47.1381721496582
2018-07-12,47.8780403137207
2018-07-13,47.80404281616211
2018-07-16,47.66533279418945
2018-07-17,47.67457580566406
2018-07-18,47.53584671020508
2018-07-19,47.20292282104492
2018-07-20,47.04569625854492
2018-07-23,47.23991012573242
2018-07-24,47.57284927368164
2018-07-25,47.91503143310547
2018-07-26,46.107933044433594
2018-07-27,45.2330436706543
2018-07-30,44.52092742919922
2018-07-31,44.816864013671875
2018-08-01,44.63190460205078
2018-08-02,44.9278564453125
2018-08-03,45.2330436706543
2018-08-06,45.68621063232422
2018-08-07,45.74168014526367
2018-08-08,45.704715728759766
2018-08-09,45.95439910888672
2018-08-10,45.56598663330078
2018-08-13,45.501243591308594
2018-08-14,45.82493591308594
2018-08-15,45.18679428100586
2018-08-16,45.168312072753906
2018-08-17,44.95560073852539
2018-08-20,45.02958297729492
2018-08-21,45.30703353881836
2018-08-22,45.25153732299805
2018-08-23,45.06657409667969
2018-08-24,45.72319412231445
2018-08-27,46.167118072509766
2018-08-28,45.96365737915039
2018-08-29,46.22261047363281
2018-08-30,45.9359016418457
2018-08-31,45.482749938964844
2018-09-04,44.91861343383789
2018-09-05,44.335960388183594
2018-09-06,44.003028869628906
2018-09-07,44.095516204833984
2018-09-10,44.187984466552734
2018-09-11,44.63190460205078
2018-09-12,44.5024299621582
2018-09-13,44.816864013671875
2018-09-14,44.733642578125
2018-09-17,44.29897689819336
2018-09-18,44.61342239379883
2018-09-19,44.733642578125
2018-09-20,45.22379684448242
2018-09-21,45.021636962890625
2018-09-24,45.021636962890625
2018-09-25,45.040191650390625
2018-09-26,45.21638107299805
2018-09-27,45.60586166381836
2018-09-28,45.43893051147461
2018-10-01,45.25347900390625
2018-10-02,45.21638107299805
2018-10-03,45.42039489746094
2018-10-04,44.77125549316406
2018-10-05,44.344688415527344
2018-10-08,44.19631576538086
2018-10-09,44.16850662231445
2018-10-10,42.42512512207031
2018-10-11,42.06346893310547
2018-10-12,43.00006103515625
2018-10-15,42.83314895629883
2018-10-16,43.964481353759766
2018-10-17,44.14067459106445
2018-10-18,43.33390426635742
2018-10-19,43.32463073730469
2018-10-22,43.29682159423828
2018-10-23,43.2040901184082
2018-10-24,41.145423889160156
2018-10-25,42.50859451293945
2018-10-26,41.358699798583984
2018-10-29,40.71885299682617
2018-10-30,41.831642150878906
2018-10-31,42.69405746459961
2018-11-01,42.94443130493164
2018-11-02,42.50859451293945
2018-11-05,42.33240509033203
2018-11-06,42.582767486572266
2018-11-07,43.361724853515625
2018-11-08,42.95372009277344
2018-11-09,42.07274627685547
2018-11-12,41.442169189453125
2018-11-13,41.312347412109375
2018-11-14,41.51634216308594
2018-11-15,41.82236862182617
2018-11-16,41.61834716796875
2018-11-19,40.3571891784668
2018-11-20,39.82861328125
2018-11-21,40.301544189453125
2018-11-23,39.772979736328125
2018-11-26,40.68175506591797
2018-11-27,40.81156921386719
2018-11-28,41.66472244262695
2018-11-29,41.8038215637207
2018-11-30,41.7389030456543
2018-12-03,41.8038215637207
2018-12-04,40.57048416137695
2018-12-06,41.024864196777344
2018-12-07,40.24592590332031
2018-12-10,40.55193328857422
2018-12-11,40.589027404785156
2018-12-12,41.024864196777344
2018-12-13,40.83941650390625
2018-12-14,40.4406623840332
2018-12-17,39.65243148803711
2018-12-18,39.82861328125
2018-12-19,38.97547912597656
2018-12-20,38.28925704956055
2018-12-21,37.037017822265625
2018-12-24,36.255523681640625
2018-12-26,38.2929801940918
2018-12-27,38.46974563598633
2018-12-28,38.34880065917969
2018-12-31,38.404624938964844
2019-01-02,38.91631317138672
2019-01-03,38.265071868896484
2019-01-04,39.91178512573242
2019-01-07,40.367652893066406
2019-01-08,41.046791076660156
2019-01-09,41.102622985839844
2019-01-10,41.18635940551758
2019-01-11,40.9816780090332
2019-01-14,40.83282470703125
2019-01-15,41.51197052001953
2019-01-16,41.33522415161133
2019-01-17,41.5026741027832
2019-01-18,41.837589263916016
2019-01-22,40.972373962402344
2019-01-23,40.786312103271484
2019-01-24,40.972373962402344
2019-01-25,41.49335861206055
2019-01-28,41.130523681640625
2019-01-29,40.64674377441406
2019-01-30,41.23287582397461
2019-01-31,42.916805267333984
2019-02-01,42.767940521240234
2019-02-04,43.16797637939453
2019-02-05,43.642459869384766
2019-02-06,42.66560363769531
2019-02-07,42.256248474121094
2019-02-08,42.544654846191406
2019-02-11,42.10738754272461
2019-02-12,42.59116744995117
2019-02-13,42.61909103393555
2019-02-14,42.77724838256836
2019-02-15,42.96331024169922
2019-02-19,43.009830474853516
2019-02-20,42.8609619140625
2019-02-21,42.46092224121094
2019-02-22,42.8609619140625
2019-02-25,42.9074821472168
2019-02-26,42.9074821472168
2019-02-27,42.69351577758789
2019-02-28,42.72142028808594
2019-03-01,43.056339263916016
2019-03-04,43.11216735839844
2019-03-05,43.3819580078125
2019-03-06,43.36336135864258
2019-03-07,42.98191833496094
2019-03-08,42.95400619506836
2019-03-11,43.7261962890625
2019-03-12,43.92155838012695
2019-03-13,44.05181121826172
2019-03-14,43.856441497802734
2019-03-15,43.821956634521484
2019-03-18,43.44916534423828
2019-03-19,43.52373123168945
2019-03-20,43.915164947509766
2019-03-21,44.493003845214844
2019-03-22,43.775360107421875
2019-03-25,43.70079803466797
2019-03-26,43.915164947509766
2019-03-27,43.59828186035156
2019-03-28,43.49576187133789
2019-03-29,43.58894729614258
2019-04-01,44.25067138671875
2019-04-02,44.483665466308594
2019-04-03,44.65141677856445
2019-04-04,44.90305709838867
2019-04-05,45.03354263305664
2019-04-08,44.94965744018555
2019-04-09,45.07082748413086
2019-04-10,45.26652526855469
2019-04-11,45.29448699951172
2019-04-12,45.6859245300293
2019-04-15,45.648643493652344
2019-04-16,45.695247650146484
2019-04-17,45.779136657714844
2019-04-18,45.80708694458008
2019-04-22,46.012123107910156
2019-04-23,46.62723922729492
2019-04-24,46.41288375854492
2019-04-25,46.934791564941406
2019-04-26,47.307586669921875
2019-04-29,47.73630142211914
2019-04-30,46.66451644897461
2019-05-01,46.42219924926758
2019-05-02,46.23580551147461
2019-05-03,46.68315124511719
2019-05-06,46.60859298706055
2019-05-07,45.85369110107422
2019-05-08,45.779136657714844
2019-05-09,45.63933181762695
2019-05-10,45.76980972290039
2019-05-13,44.35319519042969
2019-05-14,44.60483169555664
2019-05-15,45.60205078125
2019-05-16,46.0028076171875
2019-05-17,45.66728973388672
2019-05-20,44.91236877441406
2019-05-21,45.40633773803711
2019-05-22,45.3597297668457
2019-05-23,44.72597122192383
2019-05-24,44.71665573120117
2019-05-28,44.91236877441406
2019-05-29,44.47435760498047
2019-05-30,44.576873779296875
2019-05-31,43.88719177246094
2019-06-03,42.50785446166992
2019-06-04,43.421207427978516
2019-06-05,43.439842224121094
2019-06-06,43.62623977661133
2019-06-07,44.33454132080078
2019-06-10,44.29726028442383
2019-06-11,44.483665466308594
2019-06-12,44.26931381225586
2019-06-13,44.76325607299805
2019-06-14,44.847137451171875
2019-06-17,45.3597297668457
2019-06-18,45.611366271972656
2019-06-19,45.66728973388672
2019-06-20,45.95621109008789
2019-06-21,46.150516510009766
2019-06-24,46.262630462646484
2019-06-25,45.40314483642578
2019-06-26,45.22563934326172
2019-06-27,45.54328536987305
2019-06-28,45.982357025146484
2019-07-01,46.35604476928711
2019-07-02,46.78579330444336
2019-07-03,47.0286865234375
2019-07-05,47.09408950805664
2019-07-08,46.673683166503906
2019-07-09,46.963287353515625
2019-07-10,47.49580001831055
2019-07-11,47.523834228515625
2019-07-12,47.869483947753906
2019-07-15,47.87881851196289
2019-07-16,47.766727447509766
2019-07-17,47.31829833984375
2019-07-18,46.93525695800781
2019-07-19,46.328025817871094
2019-07-22,46.50552749633789
2019-07-23,46.68303298950195
2019-07-24,47.09408950805664
2019-07-25,46.97263717651367
2019-07-26,48.31792068481445
2019-07-29,48.04698944091797
2019-07-30,47.822784423828125
2019-07-31,47.43974304199219
2019-08-01,47.21554183959961
2019-08-02,46.75775909423828
2019-08-05,45.24433135986328
2019-08-06,45.89828109741211
2019-08-07,45.9543342590332
2019-08-08,46.87921905517578
2019-08-09,46.35604476928711
2019-08-12,45.86091613769531
2019-08-13,46.53355407714844
2019-08-14,44.87997817993164
2019-08-15,44.95471954345703
2019-08-16,45.533931732177734
2019-08-19,46.24394607543945
2019-08-20,45.93564987182617
2019-08-21,46.11315155029297
2019-08-22,46.010398864746094
2019-08-23,44.74918746948242
2019-08-26,45.42182922363281
2019-08-27,45.50592041015625
2019-08-28,45.61802291870117
2019-08-29,46.328025817871094
2019-08-30,46.271968841552734
2019-09-03,45.81420135498047
2019-09-04,46.701717376708984
2019-09-05,47.49580001831055
2019-09-06,47.39303207397461
2019-09-09,47.542518615722656
2019-09-10,47.607913970947266
2019-09-11,47.86014938354492
2019-09-12,48.00027084350586
2019-09-13,47.916194915771484
2019-09-16,47.738704681396484
2019-09-17,47.785423278808594
2019-09-18,47.72935485839844
2019-09-19,47.776058197021484
2019-09-20,47.46611785888672
2019-09-23,47.29756546020508
2019-09-24,46.585899353027344
2019-09-25,47.11964797973633
2019-09-26,46.66082000732422
2019-09-27,46.13642501831055
2019-09-30,46.37052917480469
2019-10-01,45.902339935302734
2019-10-02,45.20939254760742
2019-10-03,45.649505615234375
2019-10-04,46.267520904541016
2019-10-07,46.267520904541016
2019-10-08,45.518409729003906
2019-10-09,45.78997039794922
2019-10-10,46.052146911621094
2019-10-11,46.59526824951172
2019-10-14,46.492279052734375
2019-10-15,47.28820037841797
2019-10-16,47.37248992919922
2019-10-17,47.65340042114258
2019-10-18,47.10092544555664
2019-10-21,47.381839752197266
2019-10-22,46.92300796508789
2019-10-23,47.28820037841797
2019-10-24,46.75444793701172
2019-10-25,47.11964797973633
2019-10-28,47.55976104736328
2019-10-29,47.1290168762207
2019-10-30,47.26011276245117
2019-10-31,47.40056610107422
2019-11-01,47.709590911865234
2019-11-04,47.971771240234375
2019-11-05,47.99050521850586
2019-11-06,47.82195281982422
2019-11-07,48.121604919433594
2019-11-08,48.25270462036133
2019-11-11,48.0279541015625
2019-11-12,48.084144592285156
2019-11-13,48.06542205810547
2019-11-14,48.28078842163086
2019-11-15,48.683448791503906
2019-11-18,48.85199737548828
2019-11-19,48.88008499145508
2019-11-20,48.5804328918457
2019-11-21,48.71152877807617
2019-11-22,48.73025131225586
2019-11-25,48.88008499145508
2019-11-26,49.03927993774414
2019-11-27,49.3857421875
2019-11-29,49.217193603515625
2019-12-02,48.74898910522461
2019-12-03,48.65534591674805
2019-12-04,48.908172607421875
2019-12-05,49.11418151855469
2019-12-06,49.404457092285156
2019-12-09,49.217193603515625
2019-12-10,49.04863739013672
2019-12-11,49.273372650146484
2019-12-12,49.329551696777344
2019-12-13,49.217193603515625
2019-12-16,49.70411682128906
2019-12-17,49.657291412353516
2019-12-18,49.99440002441406
2019-12-19,50.453243255615234
2019-12-20,50.609954833984375
2019-12-23,50.47856903076172
2019-12-24,50.46919250488281
2019-12-26,50.853946685791016
2019-12-27,50.76010513305664
2019-12-30,50.23458480834961
2019-12-31,50.32843017578125
2020-01-02,50.91963195800781
2020-01-03,50.5911865234375
2020-01-06,51.26686096191406
2020-01-07,51.332550048828125
2020-01-08,51.69853591918945
2020-01-09,51.9706916809082
2020-01-10,51.76423263549805
2020-01-13,52.252227783203125
2020-01-14,52.120845794677734
2020-01-15,52.37421417236328
2020-01-16,52.777748107910156
2020-01-17,53.19065475463867
2020-01-21,53.14373779296875
2020-01-22,53.1155891418457
2020-01-23,52.89975357055664
2020-01-24,52.261600494384766
2020-01-27,51.445159912109375
2020-01-28,52.03638458251953
2020-01-29,51.95193099975586
2020-01-30,51.4263916015625
2020-01-31,50.5911865234375
2020-02-03,51.19178771972656
2020-02-04,51.72670364379883
2020-02-05,51.81114959716797
2020-02-06,52.45868682861328
2020-02-07,52.421138763427734
2020-02-10,52.7308235168457
2020-02-11,52.67452621459961
2020-02-12,53.359580993652344
2020-02-13,53.36896514892578
2020-02-14,53.43464279174805
2020-02-18,53.791263580322266
2020-02-19,54.03525161743164
2020-02-20,53.48158264160156
2020-02-21,52.66514205932617
2020-02-24,50.90087127685547
2020-02-25,49.54013442993164
2020-02-26,49.446285247802734
2020-02-27,47.49433898925781
2020-02-28,47.635101318359375
2020-03-02,49.28675079345703
2020-03-03,47.66325759887695
2020-03-04,49.380611419677734
