,XLV
1998-12-22,16.716140747070312
1998-12-23,17.091785430908203
1998-12-24,17.19613265991211
1998-12-28,16.945697784423828
1998-12-29,17.321348190307617
1998-12-30,17.17525863647461
1998-12-31,17.363088607788086
1999-01-04,17.321348190307617
1999-01-05,17.59264373779297
1999-01-06,17.88482666015625
1999-01-07,17.801340103149414
1999-01-08,18.020465850830078
1999-01-11,18.06220245361328
1999-01-12,17.98915672302246
1999-01-13,17.822208404541016
1999-01-14,17.676118850708008
1999-01-15,17.916114807128906
1999-01-19,18.427406311035156
1999-01-20,18.531742095947266
1999-01-21,17.88482666015625
1999-01-22,17.8117618560791
1999-01-25,17.957860946655273
1999-01-26,18.041332244873047
1999-01-27,17.863943099975586
1999-01-28,18.197851181030273
1999-01-29,18.197851181030273
1999-02-01,18.30219841003418
1999-02-02,18.030895233154297
1999-02-03,18.375234603881836
1999-02-04,18.239595413208008
1999-02-05,18.030895233154297
1999-02-08,18.020465850830078
1999-02-09,17.696985244750977
1999-02-10,17.738733291625977
1999-02-11,18.218708038330078
1999-02-12,17.947423934936523
1999-02-16,18.11436653137207
1999-02-17,17.926563262939453
1999-02-18,18.156110763549805
1999-02-19,18.20827865600586
1999-02-22,18.5943660736084
1999-02-23,18.563053131103516
1999-02-24,18.34392738342285
1999-02-25,18.16655158996582
1999-02-26,18.218708038330078
1999-03-01,18.18741798400879
1999-03-02,18.176977157592773
1999-03-03,18.06220245361328
1999-03-04,18.385663986206055
1999-03-05,18.80305290222168
1999-03-08,18.82392692565918
1999-03-09,18.677846908569336
1999-03-10,18.844791412353516
1999-03-11,18.970006942749023
1999-03-12,18.86566162109375
1999-03-15,18.92827606201172
1999-03-16,18.886539459228516
1999-03-17,18.782182693481445
1999-03-18,19.04304313659668
1999-03-19,18.95958137512207
1999-03-22,18.90740203857422
1999-03-23,18.385663986206055
1999-03-24,18.469146728515625
1999-03-25,18.782182693481445
1999-03-26,18.636091232299805
1999-03-29,18.86566162109375
1999-03-30,18.80305290222168
1999-03-31,18.698713302612305
1999-04-01,18.698713302612305
1999-04-05,19.116092681884766
1999-04-06,19.13695526123047
1999-04-07,19.502164840698242
1999-04-08,19.700420379638672
1999-04-09,19.763032913208008
1999-04-12,20.263879776000977
1999-04-13,20.055192947387695
1999-04-14,19.86737823486328
1999-04-15,19.366514205932617
1999-04-16,19.178701400756836
1999-04-19,18.656965255737305
1999-04-20,19.011751174926758
1999-04-21,19.449996948242188
1999-04-22,19.84650993347168
1999-04-23,20.29519271850586
1999-04-26,20.263879776000977
1999-04-27,20.28475570678711
1999-04-28,19.742168426513672
1999-04-29,19.512598037719727
1999-04-30,19.366514205932617
1999-05-03,19.742168426513672
1999-05-04,19.366514205932617
1999-05-05,19.53347396850586
1999-05-06,19.616945266723633
1999-05-07,19.554340362548828
1999-05-10,19.512598037719727
1999-05-11,19.825641632080078
1999-05-12,20.01346206665039
1999-05-13,19.888246536254883
1999-05-14,19.53347396850586
1999-05-17,19.40825653076172
1999-05-18,19.199567794799805
1999-05-19,19.42912483215332
1999-05-20,19.689987182617188
1999-05-21,19.470861434936523
1999-05-24,19.011751174926758
1999-05-25,18.82392692565918
1999-05-26,18.844791412353516
1999-05-27,18.636091232299805
1999-05-28,18.771751403808594
1999-06-01,18.82392692565918
1999-06-02,18.761320114135742
1999-06-03,18.90740203857422
1999-06-04,19.366514205932617
1999-06-07,19.199567794799805
1999-06-08,19.04304313659668
1999-06-09,19.053476333618164
1999-06-10,18.896968841552734
1999-06-11,18.677846908569336
1999-06-14,18.782182693481445
1999-06-15,18.990875244140625
1999-06-16,19.366514205932617
1999-06-17,19.460433959960938
1999-06-18,19.366514205932617
1999-06-21,19.272607803344727
1999-06-22,19.241310119628906
1999-06-23,19.283042907714844
1999-06-24,18.92827606201172
1999-06-25,18.949132919311523
1999-06-28,19.15782928466797
1999-06-29,19.345643997192383
1999-06-30,19.59608268737793
1999-07-01,19.6586856842041
1999-07-02,19.6586856842041
1999-07-06,19.616945266723633
1999-07-07,19.742168426513672
1999-07-08,19.700420379638672
1999-07-09,19.783903121948242
1999-07-12,19.825641632080078
1999-07-13,19.783903121948242
1999-07-14,19.825641632080078
1999-07-15,19.9195556640625
1999-07-16,19.929983139038086
1999-07-19,19.84650993347168
1999-07-20,19.763032913208008
1999-07-21,19.72129249572754
1999-07-22,19.40825653076172
1999-07-23,19.241310119628906
1999-07-26,19.262184143066406
1999-07-27,19.616945266723633
1999-07-28,19.470861434936523
1999-07-29,19.13695526123047
1999-07-30,19.011751174926758
1999-08-02,18.886539459228516
1999-08-03,18.80305290222168
1999-08-04,18.531742095947266
1999-08-05,18.47957420349121
1999-08-06,18.281330108642578
1999-08-09,18.30219841003418
1999-08-10,17.936994552612305
1999-08-11,18.11436653137207
1999-08-12,18.11436653137207
1999-08-13,18.427406311035156
1999-08-16,18.427406311035156
1999-08-17,18.656965255737305
1999-08-18,18.782182693481445
1999-08-19,18.698713302612305
1999-08-20,18.656965255737305
1999-08-23,18.8343563079834
1999-08-24,18.57349395751953
1999-08-25,18.949132919311523
1999-08-26,18.80305290222168
1999-08-27,18.66740608215332
1999-08-30,18.218708038330078
1999-08-31,18.156110763549805
1999-09-01,18.176977157592773
1999-09-02,17.98915672302246
1999-09-03,18.563053131103516
1999-09-07,18.782182693481445
1999-09-08,18.698713302612305
1999-09-09,18.57349395751953
1999-09-10,18.677846908569336
