,XLI
1998-12-22,14.39668083190918
1998-12-23,14.647899627685547
1998-12-24,14.841141700744629
1998-12-28,14.918436050415039
1998-12-29,15.131006240844727
1998-12-30,15.063365936279297
1998-12-31,15.18898868560791
1999-01-04,14.97641658782959
1999-01-05,15.285597801208496
1999-01-06,15.614110946655273
1999-01-07,15.478843688964844
1999-01-08,15.594792366027832
1999-01-11,15.449871063232422
1999-01-12,15.26628303527832
1999-01-13,14.87978458404541
1999-01-14,14.812153816223145
1999-01-15,15.063365936279297
1999-01-19,15.034382820129395
1999-01-20,14.966751098632812
1999-01-21,14.841141700744629
1999-01-22,14.551279067993164
1999-01-25,14.79283618927002
1999-01-26,14.79283618927002
1999-01-27,14.908775329589844
1999-01-28,14.928094863891602
1999-01-29,15.024715423583984
1999-02-01,15.044049263000488
1999-02-02,14.928094863891602
1999-02-03,15.07303237915039
1999-02-04,15.092350959777832
1999-02-05,15.044049263000488
1999-02-08,15.092350959777832
1999-02-09,14.889450073242188
1999-02-10,14.947421073913574
1999-02-11,15.1503267288208
1999-02-12,15.063365936279297
1999-02-16,15.140666007995605
1999-02-17,15.140666007995605
1999-02-18,15.140666007995605
1999-02-19,15.237288475036621
1999-02-22,15.469175338745117
1999-02-23,15.459519386291504
1999-02-24,15.420867919921875
1999-02-25,15.11168098449707
1999-02-26,15.159992218017578
1999-03-01,15.1503267288208
1999-03-02,15.024715423583984
1999-03-03,14.937758445739746
1999-03-04,15.22762393951416
1999-03-05,15.565801620483398
1999-03-08,15.6527681350708
1999-03-09,15.730069160461426
1999-03-10,15.70107364654541
1999-03-11,15.720399856567383
1999-03-12,15.768709182739258
1999-03-15,15.730069160461426
1999-03-16,15.623778343200684
1999-03-17,15.594792366027832
1999-03-18,15.633434295654297
1999-03-19,15.730581283569336
1999-03-22,15.614197731018066
1999-03-23,15.245674133300781
1999-03-24,15.206871032714844
1999-03-25,15.371745109558105
1999-03-26,15.410531044006348
1999-03-29,15.662689208984375
1999-03-30,15.652998924255371
1999-03-31,15.478425979614258
1999-04-01,15.643294334411621
1999-04-05,15.98272705078125
1999-04-06,15.895450592041016
1999-04-07,15.924541473388672
1999-04-08,16.011823654174805
1999-04-09,16.021520614624023
1999-04-12,16.409452438354492
1999-04-13,16.5355281829834
1999-04-14,16.894365310668945
1999-04-15,17.33078956604004
1999-04-16,17.427764892578125
1999-04-19,17.573253631591797
1999-04-20,17.456871032714844
1999-04-21,17.51505470275879
1999-04-22,17.524751663208008
1999-04-23,17.66053009033203
1999-04-26,17.641130447387695
1999-04-27,17.72842025756836
1999-04-28,17.95148277282715
1999-04-29,18.019372940063477
1999-04-30,17.806005477905273
1999-05-03,18.155141830444336
1999-05-04,18.232725143432617
1999-05-05,18.232725143432617
1999-05-06,18.271512985229492
1999-05-07,18.620656967163086
1999-05-10,18.368505477905273
1999-05-11,18.678848266601562
1999-05-12,18.494585037231445
1999-05-13,18.310312271118164
1999-05-14,18.077556610107422
1999-05-17,18.03876304626465
1999-05-18,17.806005477905273
1999-05-19,18.077556610107422
1999-05-20,18.12605094909668
1999-05-21,17.912689208984375
1999-05-24,17.757511138916016
1999-05-25,17.699325561523438
1999-05-26,17.573253631591797
1999-05-27,17.28229522705078
1999-05-28,17.456871032714844
1999-06-01,17.46656608581543
1999-06-02,17.699325561523438
1999-06-03,17.88359260559082
1999-06-04,18.06785011291504
1999-06-07,18.2424259185791
1999-06-08,18.077556610107422
1999-06-09,18.09695053100586
1999-06-10,17.88359260559082
1999-06-11,17.854494094848633
1999-06-14,18.06785011291504
1999-06-15,18.12605094909668
1999-06-16,18.37819480895996
1999-06-17,18.523681640625
1999-06-18,18.663816452026367
1999-06-21,18.411354064941406
1999-06-22,18.323951721191406
1999-06-23,18.382204055786133
1999-06-24,18.187999725341797
1999-06-25,18.08118438720703
1999-06-28,18.110315322875977
1999-06-29,18.207414627075195
1999-06-30,18.527868270874023
1999-07-01,18.53759002685547
1999-07-02,18.62497329711914
1999-07-06,18.644393920898438
1999-07-07,18.508447647094727
1999-07-08,18.576419830322266
1999-07-09,18.595842361450195
1999-07-12,18.430763244628906
1999-07-13,18.362789154052734
1999-07-14,18.459901809692383
1999-07-15,18.586135864257812
1999-07-16,18.615266799926758
1999-07-19,18.634681701660156
1999-07-20,18.615266799926758
1999-07-21,18.595842361450195
1999-07-22,18.527868270874023
1999-07-23,18.430763244628906
1999-07-26,18.294818878173828
1999-07-27,18.53759002685547
1999-07-28,18.430763244628906
1999-07-29,18.061765670776367
1999-07-30,17.84813117980957
1999-08-02,17.896682739257812
1999-08-03,17.906391143798828
1999-08-04,17.77044105529785
1999-08-05,17.86754608154297
1999-08-06,17.70246124267578
1999-08-09,17.64420509338379
1999-08-10,17.479122161865234
1999-08-11,17.789865493774414
1999-08-12,17.72188949584961
1999-08-13,18.032629013061523
1999-08-16,18.100605010986328
1999-08-17,18.35308265686035
1999-08-18,18.178287506103516
1999-08-19,17.945236206054688
1999-08-20,18.129741668701172
1999-08-23,18.51816177368164
1999-08-24,18.527868270874023
1999-08-25,18.731794357299805
1999-08-26,18.634681701660156
1999-08-27,18.421051025390625
1999-08-30,17.9549503326416
1999-08-31,17.993783950805664
1999-09-01,18.042348861694336
1999-09-02,17.886972427368164
1999-09-03,18.323951721191406
1999-09-07,18.527868270874023
1999-09-08,18.586135864257812
1999-09-09,18.4501895904541
1999-09-10,18.401630401611328
1999-09-13,18.26568031311035
1999-09-14,18.100605010986328
1999-09-15,18.129741668701172
1999-09-16,17.964656829833984
1999-09-17,18.260948181152344
1999-09-20,18.280405044555664
1999-09-21,18.046934127807617
1999-09-22,17.988555908203125
1999-09-23,17.842622756958008
1999-09-24,17.463197708129883
1999-09-27,17.686960220336914
1999-09-28,17.47292709350586
1999-09-29,17.570213317871094
1999-09-30,17.90097999572754
1999-10-01,17.65777587890625
1999-10-04,17.969099044799805
1999-10-05,17.78424072265625
1999-10-06,18.03719711303711
1999-10-07,18.05664825439453
1999-10-08,18.29987335205078
1999-10-11,18.329050064086914
1999-10-12,17.949634552001953
1999-10-13,17.443744659423828
1999-10-14,17.268619537353516
1999-10-15,17.025390625
1999-10-18,16.694612503051758
1999-10-19,16.704355239868164
1999-10-20,16.850276947021484
1999-10-21,16.665430068969727
1999-10-22,17.112958908081055
1999-10-25,17.083772659301758
1999-10-26,16.976755142211914
1999-10-27,17.03512191772461
1999-10-28,17.42427635192871
1999-10-29,17.511837005615234
1999-11-01,17.064308166503906
1999-11-02,17.278348922729492
1999-11-03,17.16160011291504
1999-11-04,17.112958908081055
1999-11-05,17.20051383972168
1999-11-08,17.22970962524414
1999-11-09,17.23942756652832
1999-11-10,17.171327590942383
1999-11-11,17.23942756652832
1999-11-12,17.356178283691406
1999-11-15,17.453468322753906
1999-11-16,17.862075805664062
1999-11-17,17.978816986083984
1999-11-18,18.03719711303711
1999-11-19,17.823150634765625
1999-11-22,17.745332717895508
1999-11-23,17.570213317871094
1999-11-24,17.579944610595703
1999-11-26,17.492380142211914
1999-11-29,17.20051383972168
1999-11-30,17.1226806640625
1999-12-01,17.258892059326172
1999-12-02,17.219970703125
1999-12-03,17.502111434936523
1999-12-06,17.453468322753906
1999-12-07,17.1226806640625
1999-12-08,17.42427635192871
1999-12-09,16.957298278808594
1999-12-10,17.268619537353516
1999-12-13,17.365890502929688
1999-12-14,17.365890502929688
1999-12-15,17.20051383972168
1999-12-16,17.356178283691406
1999-12-17,17.83516502380371
1999-12-20,17.29796600341797
1999-12-21,17.54214859008789
1999-12-22,17.464014053344727
1999-12-23,17.698423385620117
1999-12-27,17.874242782592773
1999-12-28,18.0598201751709
1999-12-29,18.196561813354492
1999-12-30,18.235626220703125
1999-12-31,18.50910758972168
2000-01-03,18.03050994873047
2000-01-04,17.532381057739258
2000-01-05,17.45424461364746
2000-01-06,17.68865203857422
2000-01-07,18.362606048583984
2000-01-10,18.362606048583984
2000-01-11,18.128183364868164
2000-01-12,17.91330909729004
2000-01-13,18.255163192749023
2000-01-14,18.128183364868164
2000-01-18,18.108661651611328
2000-01-19,18.050050735473633
2000-01-20,17.932838439941406
2000-01-21,17.708194732666016
2000-01-24,17.200288772583008
2000-01-25,17.102617263793945
2000-01-26,17.239355087280273
2000-01-27,17.337039947509766
2000-01-28,16.87796974182129
2000-01-31,16.99517250061035
2000-02-01,16.87796974182129
2000-02-02,16.887733459472656
2000-02-03,16.87796974182129
2000-02-04,16.94633674621582
2000-02-07,16.653324127197266
2000-02-08,16.721691131591797
2000-02-09,16.545879364013672
2000-02-10,16.262630462646484
2000-02-11,15.920769691467285
2000-02-14,16.17472267150879
2000-02-15,16.457975387573242
2000-02-16,16.418909072875977
2000-02-17,16.487274169921875
2000-02-18,16.125879287719727
2000-02-22,16.389602661132812
2000-02-23,16.262630462646484
2000-02-24,16.11610984802246
2000-02-25,15.832862854003906
2000-02-28,15.881698608398438
2000-02-29,16.057519912719727
2000-03-01,15.969603538513184
2000-03-02,16.028207778930664
2000-03-03,16.467737197875977
2000-03-06,16.399364471435547
2000-03-07,15.744949340820312
2000-03-08,15.91100025177002
2000-03-09,16.07704734802246
2000-03-10,16.11610984802246
2000-03-13,15.87192440032959
2000-03-14,15.784017562866211
2000-03-15,16.418909072875977
2000-03-16,17.30773162841797
2000-03-17,17.284719467163086
2000-03-20,17.38258934020996
2000-03-21,17.754505157470703
2000-03-22,17.67620086669922
2000-03-23,18.087289810180664
2000-03-24,18.194950103759766
2000-03-27,17.969829559326172
2000-03-28,17.920902252197266
2000-03-29,18.146015167236328
2000-03-30,18.263458251953125
2000-03-31,18.29282569885254
2000-04-03,18.371124267578125
2000-04-04,18.16558837890625
2000-04-05,18.097070693969727
2000-04-06,18.25368309020996
2000-04-07,18.527725219726562
2000-04-10,18.557079315185547
2000-04-11,18.78219223022461
2000-04-12,18.449417114257812
2000-04-13,18.49835968017578
2000-04-14,17.284719467163086
2000-04-17,17.7055721282959
2000-04-18,17.77409553527832
2000-04-19,17.842592239379883
2000-04-20,17.989412307739258
2000-04-24,18.008987426757812
2000-04-25,18.948579788208008
2000-04-26,18.664751052856445
2000-04-27,18.6843204498291
2000-04-28,18.557079315185547
2000-05-01,18.98773765563965
2000-05-02,18.7919864654541
2000-05-03,18.16558837890625
2000-05-04,18.194950103759766
2000-05-05,18.517934799194336
2000-05-08,18.50814437866211
2000-05-09,18.361330032348633
2000-05-10,18.17537498474121
2000-05-11,18.625600814819336
2000-05-12,18.850704193115234
2000-05-15,19.163911819458008
2000-05-16,19.340084075927734
2000-05-17,19.21285057067871
2000-05-18,19.124759674072266
2000-05-19,18.596233367919922
2000-05-22,18.273256301879883
2000-05-23,18.194950103759766
2000-05-24,18.459213256835938
2000-05-25,18.126441955566406
2000-05-26,18.028560638427734
2000-05-30,18.351537704467773
2000-05-31,18.478778839111328
2000-06-01,18.625600814819336
2000-06-02,18.76261329650879
2000-06-05,18.733259201049805
2000-06-06,18.596233367919922
2000-06-07,18.50814437866211
2000-06-08,18.214529037475586
2000-06-09,18.283035278320312
2000-06-12,18.302608489990234
2000-06-13,18.380910873413086
2000-06-14,18.34175682067871
2000-06-15,18.517934799194336
2000-06-16,18.19333839416504
2000-06-19,18.006988525390625
2000-06-20,17.44795036315918
2000-06-21,17.51661491394043
2000-06-22,17.13410186767578
2000-06-23,17.32046127319336
2000-06-26,17.732372283935547
2000-06-27,17.81084632873535
2000-06-28,18.036409378051758
2000-06-29,17.72256851196289
2000-06-30,17.751989364624023
2000-07-03,17.987377166748047
2000-07-05,17.830446243286133
2000-07-06,17.781415939331055
2000-07-07,17.869691848754883
2000-07-10,17.889299392700195
2000-07-11,18.23257064819336
2000-07-12,18.30122184753418
2000-07-13,18.448345184326172
2000-07-14,18.634685516357422
2000-07-17,18.742563247680664
2000-07-18,18.79161262512207
2000-07-19,18.634685516357422
2000-07-20,18.86026382446289
2000-07-21,18.83084487915039
2000-07-24,18.693525314331055
2000-07-25,18.732772827148438
2000-07-26,18.49738121032715
2000-07-27,18.369882583618164
2000-07-28,17.751989364624023
2000-07-31,18.026607513427734
2000-08-01,18.163923263549805
2000-08-02,18.08545684814453
2000-08-03,18.11488151550293
2000-08-04,18.3404541015625
2000-08-07,18.879878997802734
2000-08-08,19.04660987854004
2000-08-09,19.213335037231445
2000-08-10,19.164306640625
2000-08-11,19.380075454711914
2000-08-14,19.576229095458984
2000-08-15,19.331031799316406
2000-08-16,19.242765426635742
2000-08-17,19.340837478637695
2000-08-18,19.281991958618164
2000-08-21,19.556617736816406
2000-08-22,19.517383575439453
2000-08-23,19.4193115234375
2000-08-24,19.625268936157227
2000-08-25,19.713529586791992
2000-08-28,19.978342056274414
2000-08-29,19.85083770751953
2000-08-30,19.66449737548828
2000-08-31,19.811614990234375
2000-09-01,19.98815155029297
2000-09-05,19.98815155029297
2000-09-06,20.086227416992188
2000-09-07,19.96854019165039
2000-09-08,19.733154296875
2000-09-11,19.63507080078125
2000-09-12,19.576229095458984
2000-09-13,19.63507080078125
2000-09-14,19.61545753479004
2000-09-15,19.11822509765625
2000-09-18,18.901866912841797
2000-09-19,18.68551254272461
2000-09-20,18.78386116027832
2000-09-21,18.842863082885742
2000-09-22,18.70517921447754
2000-09-25,19.25591468811035
2000-09-26,19.275575637817383
2000-09-27,19.11822509765625
2000-09-28,19.373924255371094
2000-09-29,19.23624610900879
2000-10-02,19.039548873901367
2000-10-03,19.41326141357422
2000-10-04,19.550947189331055
2000-10-05,19.57061004638672
2000-10-06,19.039548873901367
2000-10-09,19.157567977905273
2000-10-10,18.901866912841797
2000-10-11,18.56749725341797
2000-10-12,18.14461898803711
2000-10-13,18.70517921447754
2000-10-16,18.960878372192383
2000-10-17,18.44948387145996
2000-10-18,18.115110397338867
2000-10-19,18.429811477661133
2000-10-20,18.528162002563477
2000-10-23,18.74451446533203
2000-10-24,19.039548873901367
2000-10-25,18.68551254272461
2000-10-26,18.78386116027832
2000-10-27,18.77402114868164
2000-10-30,18.980546951293945
2000-10-31,19.668962478637695
2000-11-01,19.68861961364746
2000-11-02,19.649293899536133
2000-11-03,19.491939544677734
2000-11-06,19.668962478637695
2000-11-07,19.74763298034668
2000-11-08,19.619789123535156
2000-11-09,19.74763298034668
2000-11-10,19.295244216918945
2000-11-13,18.941204071044922
2000-11-14,19.314924240112305
2000-11-15,19.354251861572266
2000-11-16,19.452604293823242
2000-11-17,19.373924255371094
2000-11-20,19.098560333251953
2000-11-21,19.334585189819336
2000-11-22,19.01988410949707
2000-11-24,19.334585189819336
2000-11-27,19.373924255371094
2000-11-28,19.128061294555664
2000-11-29,19.285417556762695
2000-11-30,19.000213623046875
2000-12-01,19.167396545410156
2000-12-04,19.68861961364746
2000-12-05,20.406551361083984
2000-12-06,20.00333023071289
2000-12-07,19.944320678710938
2000-12-08,20.288536071777344
2000-12-11,20.514711380004883
2000-12-12,20.209857940673828
2000-12-13,19.855815887451172
2000-12-14,19.432931900024414
2000-12-15,19.11880874633789
2000-12-18,19.474323272705078
2000-12-19,19.138565063476562
2000-12-20,18.50653648376465
2000-12-21,18.615161895751953
2000-12-22,19.05956268310547
2000-12-26,19.276826858520508
2000-12-27,19.592832565307617
2000-12-28,19.879226684570312
2000-12-29,19.750843048095703
2001-01-02,18.871919631958008
2001-01-03,19.691587448120117
2001-01-04,19.849586486816406
2001-01-05,19.276826858520508
2001-01-08,19.11880874633789
2001-01-09,19.17806625366211
2001-01-10,19.355815887451172
2001-01-11,19.592832565307617
2001-01-12,19.533584594726562
2001-01-16,19.721214294433594
2001-01-17,19.691587448120117
2001-01-18,19.819961547851562
2001-01-19,19.612581253051758
2001-01-22,19.573089599609375
2001-01-23,19.82984733581543
2001-01-24,19.721214294433594
2001-01-25,19.71134376525879
2001-01-26,19.385459899902344
2001-01-29,19.466428756713867
2001-01-30,19.78243637084961
2001-01-31,19.826683044433594
2001-02-01,19.567550659179688
2001-02-02,19.50434684753418
2001-02-05,19.59914779663086
2001-02-06,19.693952560424805
2001-02-07,19.523305892944336
2001-02-08,19.498027801513672
2001-02-09,19.036645889282227
2001-02-12,19.25786018371582
2001-02-13,19.460105895996094
2001-02-14,19.25786018371582
2001-02-15,19.586511611938477
2001-02-16,19.011369705200195
2001-02-20,19.080894470214844
2001-02-21,18.847043991088867
2001-02-22,18.67007827758789
2001-02-23,18.644792556762695
2001-02-26,19.01767921447754
2001-02-27,18.97345542907715
2001-02-28,18.638477325439453
2001-03-01,18.505746841430664
2001-03-02,18.613187789916992
2001-03-05,18.847043991088867
2001-03-06,19.11880874633789
2001-03-07,19.346338272094727
2001-03-08,19.466428756713867
2001-03-09,19.05560874938965
2001-03-12,18.012767791748047
2001-03-13,18.038049697875977
2001-03-14,17.65883445739746
2001-03-15,17.5766658782959
2001-03-16,17.119680404663086
2001-03-19,17.461946487426758
2001-03-20,17.106998443603516
2001-03-21,16.663320541381836
2001-03-22,16.21330451965332
2001-03-23,16.53655242919922
2001-03-26,16.834461212158203
2001-03-27,17.106998443603516
2001-03-28,16.796436309814453
2001-03-29,16.796436309814453
2001-03-30,16.853469848632812
2001-04-02,16.73303985595703
2001-04-03,16.03583335876465
2001-04-04,16.111894607543945
2001-04-05,17.049949645996094
2001-04-06,16.707693099975586
2001-04-09,17.00559425354004
2001-04-10,17.506315231323242
2001-04-11,17.30982208251953
2001-04-12,17.652090072631836
2001-04-16,17.620399475097656
2001-04-17,17.842243194580078
2001-04-18,18.609169006347656
2001-04-19,18.672555923461914
2001-04-20,18.621850967407227
2001-04-23,18.336624145507812
2001-04-24,18.15281105041504
2001-04-25,18.577486038208008
2001-04-26,18.83734893798828
2001-04-27,18.976797103881836
2001-04-30,18.780303955078125
2001-05-01,18.951440811157227
2001-05-02,18.957782745361328
2001-05-03,18.67888832092285
2001-05-04,18.96411895751953
2001-05-07,19.033838272094727
2001-05-08,19.065532684326172
2001-05-09,18.957782745361328
2001-05-10,19.166933059692383
2001-05-11,19.071857452392578
2001-05-14,19.160598754882812
2001-05-15,19.23665428161621
2001-05-16,19.857818603515625
2001-05-17,20.187400817871094
2001-05-18,20.25079345703125
2001-05-21,20.447280883789062
2001-05-22,20.383892059326172
2001-05-23,20.07331657409668
2001-05-24,20.04796028137207
2001-05-25,19.75006103515625
2001-05-29,19.699357986450195
2001-05-30,19.300046920776367
2001-05-31,19.566251754760742
2001-06-01,19.50921058654785
2001-06-04,19.63597297668457
2001-06-05,19.845130920410156
2001-06-06,19.616958618164062
2001-06-07,19.705699920654297
