,XLK
1998-12-22,11.90910816192627
1998-12-23,12.193624496459961
1998-12-24,12.147172927856445
1998-12-28,12.182010650634766
1998-12-29,12.216851234436035
1998-12-30,12.170393943786621
1998-12-31,12.123950958251953
1999-01-04,12.263303756713867
1999-01-05,12.576849937438965
1999-01-06,12.948464393615723
1999-01-07,12.907819747924805
1999-01-08,12.960081100463867
1999-01-11,13.0878267288208
1999-01-12,12.733622550964355
1999-01-13,12.727818489074707
1999-01-14,12.553622245788574
1999-01-15,12.92524528503418
1999-01-19,13.372337341308594
1999-01-20,13.494277000427246
1999-01-21,13.145891189575195
1999-01-22,12.913625717163086
1999-01-25,13.140082359313965
1999-01-26,13.668471336364746
1999-01-27,13.37814998626709
1999-01-28,13.848470687866211
1999-01-29,14.051701545715332
1999-02-01,14.063313484191895
1999-02-02,13.825251579284668
1999-02-03,13.923954963684082
1999-02-04,13.447824478149414
1999-02-05,13.122661590576172
1999-02-08,13.343304634094238
1999-02-09,12.820725440979004
1999-02-10,12.913625717163086
1999-02-11,13.459441184997559
1999-02-12,12.92524528503418
1999-02-16,12.867178916931152
1999-02-17,12.576849937438965
1999-02-18,12.646533012390137
1999-02-19,12.762659072875977
1999-02-22,13.215566635131836
1999-02-23,13.38976001739502
1999-02-24,13.018145561218262
1999-02-25,13.052977561950684
1999-02-26,12.658141136169434
1999-03-01,12.60007381439209
1999-03-02,12.263303756713867
1999-03-03,12.472336769104004
1999-03-04,12.60007381439209
1999-03-05,12.890401840209961
1999-03-08,13.26201343536377
1999-03-09,13.122661590576172
1999-03-10,13.122661590576172
1999-03-11,13.099432945251465
1999-03-12,12.983307838439941
1999-03-15,13.192341804504395
1999-03-16,13.418794631958008
1999-03-17,13.331692695617676
1999-03-18,13.517502784729004
1999-03-19,13.192341804504395
1999-03-22,13.192341804504395
1999-03-23,12.809112548828125
1999-03-24,13.05878734588623
1999-03-25,13.366534233093262
1999-03-26,13.296853065490723
1999-03-29,13.796213150024414
1999-03-30,13.772990226745605
1999-03-31,13.598791122436523
1999-04-01,13.813631057739258
1999-04-05,14.28976821899414
1999-04-06,14.411700248718262
1999-04-07,14.376862525939941
1999-04-08,14.51622200012207
1999-04-09,14.49299144744873
1999-04-12,14.27235221862793
1999-04-13,14.051701545715332
1999-04-14,13.703307151794434
1999-04-15,13.819443702697754
1999-04-16,13.447824478149414
1999-04-19,12.79749584197998
1999-04-20,13.122661590576172
1999-04-21,13.471044540405273
1999-04-22,14.092339515686035
1999-04-23,14.121376037597656
1999-04-26,14.481379508972168
1999-04-27,14.121376037597656
1999-04-28,13.935568809509277
1999-04-29,13.79041576385498
1999-04-30,13.680084228515625
1999-05-03,13.796213150024414
1999-05-04,13.58718490600586
1999-05-05,13.865894317626953
1999-05-06,13.517502784729004
1999-05-07,13.74975872039795
1999-05-10,13.865894317626953
1999-05-11,14.074923515319824
1999-05-12,14.3536376953125
1999-05-13,14.312992095947266
1999-05-14,13.935568809509277
1999-05-17,14.132990837097168
1999-05-18,14.26072883605957
1999-05-19,14.3071870803833
1999-05-20,14.121376037597656
1999-05-21,13.95879077911377
1999-05-24,13.656856536865234
1999-05-25,13.372337341308594
1999-05-26,13.651056289672852
1999-05-27,13.552340507507324
1999-05-28,13.726532936096191
1999-06-01,13.418794631958008
1999-06-02,13.563958168029785
1999-06-03,13.471044540405273
1999-06-04,13.871696472167969
1999-06-07,14.121376037597656
1999-06-08,13.796213150024414
1999-06-09,14.005244255065918
1999-06-10,13.796213150024414
1999-06-11,13.610408782958984
1999-06-14,13.54653549194336
1999-06-15,13.668471336364746
1999-06-16,14.231696128845215
1999-06-17,14.38847541809082
1999-06-18,14.51622200012207
1999-06-21,14.882026672363281
1999-06-22,14.568474769592285
1999-06-23,14.678796768188477
1999-06-24,14.376862525939941
1999-06-25,14.394282341003418
1999-06-28,14.632347106933594
1999-06-29,14.818147659301758
1999-06-30,15.044609069824219
1999-07-01,15.213000297546387
1999-07-02,15.410421371459961
1999-07-06,15.323318481445312
1999-07-07,15.503324508666992
1999-07-08,15.712358474731445
1999-07-09,15.880746841430664
1999-07-12,15.903964042663574
1999-07-13,15.834287643432617
1999-07-14,16.031707763671875
1999-07-15,16.14784049987793
1999-07-16,16.292997360229492
1999-07-19,16.095579147338867
1999-07-20,15.427833557128906
