,XLP
1998-12-22,13.889654159545898
1998-12-23,14.22542667388916
1998-12-24,14.200862884521484
1998-12-28,14.118952751159668
1998-12-29,14.430171012878418
1998-12-30,14.340083122253418
1998-12-31,14.23361873626709
1999-01-04,14.118952751159668
1999-01-05,14.22542667388916
1999-01-06,14.397409439086914
1999-01-07,14.23361873626709
1999-01-08,14.176290512084961
1999-01-11,13.889654159545898
1999-01-12,13.783185005187988
1999-01-13,13.807756423950195
1999-01-14,13.545689582824707
1999-01-15,13.693108558654785
1999-01-19,13.53750228881836
1999-01-20,13.578446388244629
1999-01-21,13.373706817626953
1999-01-22,13.308194160461426
1999-01-25,13.27542781829834
1999-01-26,13.586633682250977
1999-01-27,13.766802787780762
1999-01-28,14.012496948242188
1999-01-29,14.045260429382324
1999-02-01,13.98792552947998
1999-02-02,14.10258674621582
1999-02-03,14.053448677062988
1999-02-04,13.98792552947998
1999-02-05,13.774998664855957
1999-02-08,13.750425338745117
1999-02-09,13.50473690032959
1999-02-10,13.60301399230957
1999-02-11,13.832329750061035
1999-02-12,13.717676162719727
1999-02-16,13.881461143493652
1999-02-17,13.7422456741333
1999-02-18,13.889654159545898
1999-02-19,13.832329750061035
1999-02-22,14.12716007232666
1999-02-23,14.10258674621582
1999-02-24,14.020692825317383
1999-02-25,13.856891632080078
1999-02-26,13.897834777832031
1999-03-01,13.832329750061035
1999-03-02,13.791378021240234
1999-03-03,13.791378021240234
1999-03-04,13.979744911193848
1999-03-05,14.192670822143555
1999-03-08,14.258185386657715
1999-03-09,14.274567604064941
1999-03-10,14.118952751159668
1999-03-11,14.258185386657715
1999-03-12,14.381034851074219
1999-03-15,14.503880500793457
1999-03-16,14.569393157958984
1999-03-17,14.32370376586914
1999-03-18,14.569393157958984
1999-03-19,14.504871368408203
1999-03-22,14.496675491333008
1999-03-23,14.086474418640137
1999-03-24,14.078265190124512
1999-03-25,14.184916496276855
1999-03-26,14.135689735412598
1999-03-29,14.316180229187012
1999-03-30,14.193123817443848
1999-03-31,13.881361961364746
1999-04-01,13.905974388122559
1999-04-05,13.97981071472168
1999-04-06,13.823945999145508
1999-04-07,13.807523727416992
1999-04-08,14.12749195098877
1999-04-09,14.160305976867676
1999-04-12,14.39822769165039
1999-04-13,14.4474458694458
1999-04-14,14.012625694274902
1999-04-15,13.668062210083008
1999-04-16,13.72548770904541
1999-04-19,13.151200294494629
1999-04-20,13.397322654724121
1999-04-21,13.823945999145508
1999-04-22,13.996225357055664
1999-04-23,13.97160816192627
1999-04-26,13.873159408569336
1999-04-27,13.88957405090332
1999-04-28,13.684473991394043
1999-04-29,13.57780933380127
1999-04-30,13.397322654724121
1999-05-03,13.709074974060059
1999-05-04,13.594222068786621
1999-05-05,13.72548770904541
1999-05-06,13.544991493225098
1999-05-07,13.659852981567383
1999-05-10,13.446541786193848
1999-05-11,13.503973007202148
1999-05-12,13.700870513916016
1999-05-13,13.766512870788574
1999-05-14,13.520384788513184
1999-05-17,13.610627174377441
1999-05-18,13.430139541625977
1999-05-19,13.618839263916016
1999-05-20,13.651651382446289
1999-05-21,13.610627174377441
1999-05-24,13.257854461669922
1999-05-25,13.126590728759766
1999-05-26,13.126590728759766
1999-05-27,13.060948371887207
1999-05-28,13.257854461669922
1999-06-01,13.307075500488281
1999-06-02,13.10197639465332
1999-06-03,13.225041389465332
1999-06-04,13.684473991394043
1999-06-07,13.569610595703125
1999-06-08,13.380906105041504
1999-06-09,13.307075500488281
1999-06-10,13.060948371887207
1999-06-11,12.929689407348633
1999-06-14,12.970712661743164
1999-06-15,13.003525733947754
1999-06-16,13.10197639465332
1999-06-17,13.208632469177246
1999-06-18,13.20368480682373
1999-06-21,13.055421829223633
1999-06-22,13.129554748535156
